County Name,Organization Code,Organization Name,School Code,School Name,Students with Disabilities Final Grad Base,Students with Disabilities Graduates Total,Students with Disabilities Graduation Rate,Students with Disabilities Completers Total,Students with Disabilities Completion Rate,Limited English Proficient Final Grad Base,Limited English Proficient Graduates Total,Limited English Proficient Graduation Rate,Limited English Proficient Completers Total,Limited English Proficient Completion Rate,Econ. Disadvant. Final Grad Base,Econ. Disadvant. Graduates Total,Econ. Disadvant. Graduation Rate,Econ. Disadvant. Completers Total,Econ. Disadvant. Completion Rate,Migrant Final Grad Base,Migrant Graduates Total,Migrant Graduation Rate,Migrant Completers Total,Migrant Completion Rate,Title 1 Final Grad Base,Title 1 Graduates Total,Title 1 Graduation Rate,Title 1 Completers Total,Title 1 Completion Rate,Homeless Final Grad Base,Homeless Graduates Total,Homeless Graduation Rate,Homeless Completers Total,Homeless Completion Rate,Gifted-Talented Final Grad Base,Gifted-Talented Graduates Total,Gifted-Talented Graduation Rate,Gifted-Talented Completers Total,Gifted-Talented Completion Rate
ADAMS,10,MAPLETON 1,6315,North Valley School For Young Adults,3,0,0,0,0,12,1,8.3,3,25,29,1,3.4,3,10.3,0,0,0,0,0,24,2,8.3,3,12.5,1,0,0,0,0,1,1,100,1,100
ADAMS,10,MAPLETON 1,9998,DISTRICT TOTAL,49,18,36.7,19,38.8,219,73,33.3,76,34.7,374,142,38,154,41.2,8,5,62.5,5,62.5,218,118,54.1,124,56.9,41,12,29.3,16,39,44,27,61.4,27,61.4
ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,15,Academy Of Charter Schools,4,3,75,3,75,6,5,83.3,5,83.3,20,16,80,16,80,0,0,0,0,0,1,0,0,0,0,3,2,66.7,2,66.7,7,6,85.7,6,85.7
ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,210,Vantage Point,27,9,33.3,9,33.3,33,12,36.4,13,39.4,149,42,28.2,45,30.2,3,0,0,0,0,135,41,30.4,52,38.5,28,10,35.7,11,39.3,13,7,53.8,8,61.5
ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,1752,Colorado Virtual Academy (Cova),58,8,13.8,15,25.9,17,1,5.9,1,5.9,204,30,14.7,63,30.9,0,0,0,0,0,26,5,19.2,11,42.3,6,0,0,2,33.3,23,7,30.4,13,56.5
ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,2031,Crossroad Alternative School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,4108,Horizon High School,29,20,69,20,69,25,23,92,23,92,72,65,90.3,66,91.7,0,0,0,0,0,4,3,75,3,75,4,4,100,4,100,29,28,96.6,28,96.6
ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,5043,Legacy High School,28,13,46.4,13,46.4,34,25,73.5,25,73.5,76,51,67.1,52,68.4,2,0,0,0,0,2,2,100,2,100,3,2,66.7,2,66.7,65,65,100,65,100
ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,5816,Thornton High School,39,26,66.7,26,66.7,112,85,75.9,85,75.9,252,186,73.8,188,74.6,9,5,55.6,5,55.6,27,14,51.9,14,51.9,27,17,63,17,63,33,32,97,32,97
ADAMS,20,ADAMS 12 FIVE STAR SCHOOLS,6060,Mountain Range High School,23,17,73.9,17,73.9,25,20,80,20,80,120,94,78.3,95,79.2,0,0,0,0,0,1,1,100,1,100,14,11,78.6,11,78.6,34,33,97.1,33,97.1
