LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,SCH_ABSENT_AM_M,SCH_ABSENT_AS_M,SCH_ABSENT_BL_M,SCH_ABSENT_HI_M,SCH_ABSENT_MU_M,SCH_ABSENT_PI_M,SCH_ABSENT_WH_M,SCH_ABSENT_AM_F,SCH_ABSENT_AS_F,SCH_ABSENT_BL_F,SCH_ABSENT_HI_F,SCH_ABSENT_MU_F,SCH_ABSENT_PI_F,SCH_ABSENT_WH_F,SCH_ABSENT_EUT,SCH_ABSENT_IDEA_M,SCH_ABSENT_IDEA_F,SCH_ABSENT_504_M,SCH_ABSENT_504_F,SCH_ABSENT_LEP_M,SCH_ABSENT_LEP_F,SCH_ABSENT_HMENRL_M,SCH_ABSENT_HMENRL_F
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",5,Mountain View Elementary School,80192000005,0,0,0,5,0,0,18,-8,0,0,5,1,0,9,38,4,0,2,0,0,0,1,1
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",7,Rockrimmon Elementary School,80192000007,-8,0,0,4,2,0,9,-8,1,0,8,4,-8,17,45,3,3,1,1,0,1,1,2
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",8,Woodmen-Roberts Elementary School,80192000008,1,0,1,4,3,-8,5,-8,0,1,2,1,-8,8,26,4,2,1,0,2,2,-8,-8
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",123,Antelope Trails Elementary School,80192000123,-8,0,1,4,1,1,10,-8,0,0,2,1,-8,9,29,5,4,1,1,-8,0,0,-8
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",531,Prairie Hills Elementary School,80192000531,0,0,1,6,0,0,11,0,1,0,5,5,0,9,38,4,3,0,0,0,0,-8,2
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",858,Aspen Valley Campus,80192000858,-8,-8,0,2,1,-8,10,-8,0,1,1,1,-8,5,21,3,0,3,1,0,-8,0,-8
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1319,Foothills Elementary School,80192001319,-8,1,0,8,2,-8,15,0,0,0,4,1,-8,12,43,7,2,0,0,2,0,1,1
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1320,High Plains Elementary School,80192001320,-8,0,5,14,2,1,22,-8,0,3,20,2,1,9,79,10,7,1,0,4,10,2,3
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1321,Rampart High School,80192001321,1,3,6,41,11,2,95,2,6,5,21,12,1,101,307,28,11,14,22,14,6,2,1
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1387,Frontier Elementary School,80192001387,-8,0,2,6,1,-8,8,0,0,1,1,1,1,13,34,2,4,1,0,2,5,2,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1402,Eagleview Middle School,80192001402,0,0,1,15,1,0,43,0,0,2,9,4,0,39,114,18,5,1,2,1,1,4,1
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1429,Liberty High School,80192001429,2,3,13,33,15,0,140,0,2,8,37,13,2,107,375,40,17,16,11,4,1,2,4
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1430,Pioneer Elementary School,80192001430,0,0,1,14,2,-8,7,-8,0,3,13,2,-8,16,58,5,4,2,0,1,3,2,6
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1462,Timberview Middle School,80192001462,0,0,2,11,3,0,29,0,1,3,10,5,0,38,102,6,6,2,4,0,2,0,1
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1496,Explorer Elementary School,80192001496,-8,1,1,8,1,0,13,-8,0,3,4,2,0,15,48,7,12,1,0,0,3,-8,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1592,The Classical Academy Charter,80192001592,0,2,0,17,9,0,62,1,4,1,10,9,1,87,203,11,6,4,3,0,2,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1593,Mountain Ridge Middle School,80192001593,-8,1,6,32,5,0,37,1,2,3,20,6,1,33,147,18,10,4,2,11,4,2,1
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1643,Academy Endeavour Elementary School,80192001643,-8,0,0,2,1,-8,20,-8,1,0,8,2,-8,11,45,8,4,1,0,0,1,1,1
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1644,Academy International Elementary School,80192001644,-8,0,0,4,3,0,17,-8,0,0,8,2,-8,9,43,1,2,0,0,1,2,1,1
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1645,Pine Creek High School,80192001645,3,3,4,30,16,1,104,1,0,2,19,11,2,67,263,17,3,19,15,3,1,1,3
