LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,SCH_FTETEACH_NOTCERT,SCH_FTECOUNSELORS,SCH_FTESECURITY_LEO,SCH_FTESECURITY_GUA,SCH_FTESERVICES_NUR,SCH_FTESERVICES_PSY,SCH_FTESERVICES_SOC
CO,Colorado,0801950,School District N. 14 In The County Of Adams & State Of Colo,11,Alsup Elementary School,080195000011,No,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CO,Colorado,0801950,School District N. 14 In The County Of Adams & State Of Colo,12,Central Elementary School,080195000012,No,27.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CO,Colorado,0801950,School District N. 14 In The County Of Adams & State Of Colo,13,Dupont Elementary School,080195000013,No,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CO,Colorado,0801950,School District N. 14 In The County Of Adams & State Of Colo,15,Kearney Middle School,080195000015,No,41.0,41.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0
CO,Colorado,0801950,School District N. 14 In The County Of Adams & State Of Colo,16,Kemp Elementary School,080195000016,No,29.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CO,Colorado,0801950,School District N. 14 In The County Of Adams & State Of Colo,17,Monaco Elementary School,080195000017,No,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0801950,School District N. 14 In The County Of Adams & State Of Colo,18,Hanson Elementary School,080195000018,No,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CO,Colorado,0801950,School District N. 14 In The County Of Adams & State Of Colo,19,Rose Hill Elementary School,080195000019,No,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CO,Colorado,0801950,School District N. 14 In The County Of Adams & State Of Colo,404,Mildred L Sanville Preschool,080195000404,No,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0801950,School District N. 14 In The County Of Adams & State Of Colo,1307,Lester R Arnold High School,080195001307,No,13.0,13.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0
CO,Colorado,0801950,School District N. 14 In The County Of Adams & State Of Colo,1947,Stars Early Learning Center,080195001947,No,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0801980,Agate School District No. 300,20,Agate Elementary School,080198000020,No,6.33,5.91,0.42,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0801980,Agate School District No. 300,21,Agate Junior Senior High School,080198000021,No,4.22,3.38,0.84,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0802010,Aguilar Reorganized School District No. 6,22,Aguilar Elementary School,080201000022,No,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0802010,Aguilar Reorganized School District No. 6,23,Aguilar Junior-Senior High School,080201000023,No,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0802040,Akron School District No. R-1,24,Akron Elementary School,080204000024,No,25.3,23.09,2.21,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0802040,Akron School District No. R-1,25,Akron High School,080204000025,No,11.78,11.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0802070,Alamosa School District No. Re-11j,26,Ortega Middle School,080207000026,No,30.6,30.6,0.0,2.03,0.0,1.0,2.0,0.0,0.0
CO,Colorado,0802070,Alamosa School District No. Re-11j,27,Alamosa High School,080207000027,No,24.94,24.94,0.0,3.06,0.0,1.0,0.0,1.0,0.0
CO,Colorado,0802070,Alamosa School District No. Re-11j,6459,Alamosa Elementary School 3-5,080207006459,No,34.18,34.18,0.0,2.0,0.0,0.0,1.0,0.0,0.0
CO,Colorado,0802070,Alamosa School District No. Re-11j,6792,Alamosa Online,080207006792,No,13.41,13.41,0.0,0.56,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0802070,Alamosa School District No. Re-11j,6798,Alamosa Elementary School K-2,080207006798,No,28.18,28.18,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CO,Colorado,0802130,South Conejos School District No. Re10,33,Guadalupe Elementary School,080213000033,No,7.0,7.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0
CO,Colorado,0802130,South Conejos School District No. Re10,35,Antonito High School,080213000035,No,4.5,4.0,0.5,0.5,0.0,0.0,0.25,0.0,0.0
CO,Colorado,0802130,South Conejos School District No. Re10,1464,Antonito Middle School,080213001464,No,3.5,3.0,0.5,0.5,0.0,0.0,0.25,0.0,0.0
CO,Colorado,0802190,Archuleta County School District No. 50 Jt,38,Pagosa Springs Elementary School,080219000038,No,40.51,40.51,0.0,1.95,1.0,0.0,0.0,0.0,0.0
CO,Colorado,0802190,Archuleta County School District No. 50 Jt,39,Pagosa Springs High School,080219000039,No,29.33,29.33,0.0,2.38,1.0,0.0,0.0,0.0,0.0
CO,Colorado,0802190,Archuleta County School District No. 50 Jt,40,Pagosa Springs Middle School,080219000040,No,29.35,29.35,0.0,2.0,1.0,0.0,0.0,0.0,0.0
CO,Colorado,0802190,Archuleta County School District No. 50 Jt,6717,Pagosa Peak Open School,080219006717,No,7.45,4.45,3.0,0.08,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0802190,Archuleta County School District No. 50 Jt,6806,San Juan Mountain School,080219006806,No,2.19,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0802220,Arickaree School District No. R-2,41,Arickaree Elementary School,080222000041,No,8.17,4.31,3.86,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0802220,Arickaree School District No. R-2,42,Arickaree Undivided High School,080222000042,No,7.1,6.98,0.12,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0802260,Arriba-Flagler Consolidated School District No. 20,509,Flagler Public School,080226000509,No,16.94,14.94,2.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0802280,Aspen School District No. 1 In The County Of Pitkin And Sta,45,Aspen Elementary School,080228000045,No,37.0,35.0,2.0,1.0,0.6,0.0,0.34,0.34,0.0
CO,Colorado,0802280,Aspen School District No. 1 In The County Of Pitkin And Sta,46,Aspen Middle School,080228000046,No,40.5,39.5,1.0,3.0,0.7,0.0,0.33,0.33,0.0
CO,Colorado,0802280,Aspen School District No. 1 In The County Of Pitkin And Sta,47,Aspen High School,080228000047,No,42.0,40.0,2.0,4.0,0.7,0.0,0.33,0.33,0.0
CO,Colorado,0802280,Aspen School District No. 1 In The County Of Pitkin And Sta,1703,Aspen Community Charter School,080228001703,No,17.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
