LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,SCH_FTETEACH_NOTCERT,SCH_FTETEACH_FY,SCH_FTETEACH_SY,SCH_TEACHERS_CURR_TOT,SCH_TEACHERS_PREV_TOT,SCH_FTETEACH_ABSENT,SCH_FTECOUNSELORS,SCH_FTESECURITY_LEO,SCH_FTESECURITY_GUA,SCH_FTESERVICES_NUR,SCH_FTESERVICES_PSY,SCH_FTESERVICES_SOC
CO,COLORADO,0801950,School District N. 14 in the county of Adams & State of Colo,9,ADAMS CITY MIDDLE SCHOOL,080195000009,No,39.0,39.0,0.0,3.0,10.0,42.0,32.0,17.0,2.0,0.25,1.9,0.0,1.0,0.0
CO,COLORADO,0801950,School District N. 14 in the county of Adams & State of Colo,10,ADAMS CITY HIGH SCHOOL,080195000010,No,83.55,83.55,0.0,0.0,19.0,88.0,55.0,42.0,4.0,2.0,5.0,0.0,0.0,1.5
CO,COLORADO,0801950,School District N. 14 in the county of Adams & State of Colo,11,ALSUP ELEMENTARY SCHOOL,080195000011,No,29.5,29.5,0.0,2.0,0.0,30.0,27.0,13.0,0.0,0.25,0.0,0.0,1.0,0.0
CO,COLORADO,0801950,School District N. 14 in the county of Adams & State of Colo,12,CENTRAL ELEMENTARY SCHOOL,080195000012,No,32.0,32.0,0.0,2.0,0.0,35.0,25.0,18.0,0.0,0.25,0.0,0.0,1.38,0.38
CO,COLORADO,0801950,School District N. 14 in the county of Adams & State of Colo,13,DUPONT ELEMENTARY SCHOOL,080195000013,No,32.0,32.0,0.0,1.0,0.0,32.0,30.0,18.0,0.0,0.25,0.0,0.0,0.94,0.0
CO,COLORADO,0801950,School District N. 14 in the county of Adams & State of Colo,15,KEARNEY MIDDLE SCHOOL,080195000015,No,39.5,39.5,0.0,4.0,3.0,41.0,27.0,21.0,3.0,0.2,1.9,0.0,0.0,0.94
CO,COLORADO,0801950,School District N. 14 in the county of Adams & State of Colo,16,KEMP ELEMENTARY SCHOOL,080195000016,No,30.0,30.0,0.0,1.0,0.0,30.0,25.0,8.0,0.0,0.25,0.0,0.0,0.7,0.0
CO,COLORADO,0801950,School District N. 14 in the county of Adams & State of Colo,17,MONACO ELEMENTARY SCHOOL,080195000017,No,24.0,24.0,0.0,5.0,0.0,24.0,20.0,9.0,0.0,0.2,0.0,0.0,0.47,0.0
CO,COLORADO,0801950,School District N. 14 in the county of Adams & State of Colo,18,HANSON ELEMENTARY SCHOOL,080195000018,No,22.0,22.0,0.0,4.0,12.0,23.0,13.0,12.0,0.0,0.25,0.0,0.0,0.84,0.0
CO,COLORADO,0801950,School District N. 14 in the county of Adams & State of Colo,19,ROSE HILL ELEMENTARY SCHOOL,080195000019,No,24.3,24.3,0.0,3.0,0.0,25.0,19.0,16.0,0.0,0.2,0.0,0.0,0.7,0.0
CO,COLORADO,0801950,School District N. 14 in the county of Adams & State of Colo,404,MILDRED L SANVILLE PRESCHOOL,080195000404,No,4.0,4.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.2,0.0,0.0,0.24,0.0
