LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_INTERNET_FIBER,SCH_INTERNET_WIFI,SCH_INTERNET_SCHDEV,SCH_INTERNET_STUDDEV,SCH_INTERNET_WIFIENDEV
CO,Colorado,0801920,Academy School District No. 20,1645,Pine Creek High School,080192001645,No,Yes,Yes,Yes,Yes,991
CO,Colorado,0801920,Academy School District No. 20,1842,The Da Vinci Academy,080192001842,No,Yes,Yes,Yes,Yes,415
CO,Colorado,0801920,Academy School District No. 20,1905,Discovery Canyon Campus High School,080192001905,No,Yes,Yes,Yes,Yes,303
CO,Colorado,0801920,Academy School District No. 20,1931,The Classical Academy Middle School,080192001931,No,Yes,Yes,Yes,Yes,120
CO,Colorado,0801920,Academy School District No. 20,1943,The Classical Academy High School,080192001943,No,Yes,Yes,Yes,Yes,151
CO,Colorado,0801920,Academy School District No. 20,6329,Chinook Trail Elementary School,080192006329,No,Yes,Yes,Yes,Yes,442
CO,Colorado,0801920,Academy School District No. 20,6336,Ranch Creek Elementary,080192006336,No,Yes,Yes,Yes,Yes,559
CO,Colorado,0801920,Academy School District No. 20,6434,Village High School,080192006434,No,Yes,Yes,Yes,Yes,130
CO,Colorado,0801920,Academy School District No. 20,6447,Tca College Pathways,080192006447,No,Yes,Yes,Yes,Yes,159
CO,Colorado,0801920,Academy School District No. 20,6478,Journey K8,080192006478,No,Yes,Yes,Yes,Yes,351
CO,Colorado,0801920,Academy School District No. 20,6616,Discovery Canyon Campus Middle School,080192006616,No,Yes,Yes,Yes,Yes,471
CO,Colorado,0801920,Academy School District No. 20,6619,Briargate Preschool,080192006619,No,Yes,Yes,Yes,Yes,13
CO,Colorado,0801920,Academy School District No. 20,6631,Discovery Canyon Campus Elementary School,080192006631,No,Yes,Yes,Yes,Yes,467
CO,Colorado,0801920,Academy School District No. 20,6745,New Summit Charter Academy,080192006745,No,Yes,Yes,Yes,Yes,148
CO,Colorado,0801920,Academy School District No. 20,6758,Legacy Peak Elementary School,080192006758,No,Yes,Yes,Yes,Yes,590
CO,Colorado,0801920,Academy School District No. 20,6788,Chinook Trail Middle School,080192006788,No,Yes,Yes,Yes,Yes,323
CO,Colorado,0801950,School District N. 14 In The County Of Adams & State Of Colo,9,Adams City Middle School,080195000009,No,Yes,Yes,Yes,Yes,718
CO,Colorado,0801950,School District N. 14 In The County Of Adams & State Of Colo,10,Adams City High School,080195000010,No,Yes,Yes,Yes,Yes,1656
CO,Colorado,0801950,School District N. 14 In The County Of Adams & State Of Colo,11,Alsup Elementary School,080195000011,No,Yes,Yes,Yes,Yes,365
CO,Colorado,0801950,School District N. 14 In The County Of Adams & State Of Colo,12,Central Elementary School,080195000012,No,Yes,Yes,Yes,Yes,417
