LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED_M,TOTAL_STUDENTS_REPORTED_F,WDIS_M,WDIS_F,DISAB504_M,DISAB504_F,LEP_M,LEP_F,H_M,H_F
CO,COLORADO,800020,State Charter School Institute,6635,TWO RIVERS COMMUNITY SCHOOL,80002006635,No,-8,0,1,7,0,-8,18,-8,0,0,7,1,-8,12,26,20,2,1,0,0,4,2,0,1
CO,COLORADO,800020,State Charter School Institute,6651,SALIDA MONTESSORI CHARTER SCHOOL,80002006651,No,-8,-8,0,0,0,-8,9,-8,-8,0,-8,1,-8,14,9,15,-8,-8,1,1,-8,-8,-8,3
CO,COLORADO,800020,State Charter School Institute,6653,EARLY LEARNING CENTER AT NEW LEGACY CHARTER SCHOOL,80002006653,No,-8,-8,0,0,-8,-8,-8,-8,-8,0,0,0,-8,0,0,0,0,-8,-8,-8,-8,-8,-8,-8
CO,COLORADO,800020,State Charter School Institute,6661,NEW LEGACY CHARTER SCHOOL,80002006661,No,-8,-8,2,4,-8,1,-8,0,0,4,17,0,0,1,7,22,1,1,-8,0,3,5,0,1
CO,COLORADO,800020,State Charter School Institute,6700,LAUNCH HIGH SCHOOL,80002006700,No,-8,-8,0,2,0,-8,7,-8,-8,0,1,0,-8,5,9,6,-8,-8,0,0,-8,-8,-8,-8
CO,COLORADO,800020,State Charter School Institute,6701,MOUNTAIN VILLAGE MONTESSORI CHARTER SCHOOL,80002006701,No,-8,1,0,0,-8,-8,10,-8,0,0,0,-8,-8,5,11,5,0,0,-8,0,-8,-8,-8,-8
CO,COLORADO,800020,State Charter School Institute,6706,MONUMENT VIEW MONTESSORI CHARTER SCHOOL,80002006706,-8,-8,-8,-8,0,1,-8,4,-8,-8,-8,0,0,-8,3,5,3,-8,-8,-8,-8,-8,-8,-8,-8
CO,COLORADO,800020,State Charter School Institute,6708,COLORADO MILITARY ACADEMY,80002006708,-8,0,0,4,19,7,0,18,0,0,1,8,3,0,11,48,23,5,3,1,1,0,1,1,1
CO,COLORADO,800020,State Charter School Institute,6710,COLORADO EARLY COLLEGES AURORA,80002006710,-8,-8,2,4,19,7,-8,2,0,1,7,22,3,-8,4,34,37,-8,-8,2,0,10,16,-8,0
CO,COLORADO,800023,COLORADO SCHOOL FOR THE DEAF AND BLIND,6410,COLORADO SCHOOL FOR THE DEAF AND BLIND,80002306410,No,-8,0,2,9,1,-8,8,-8,0,2,7,0,-8,10,20,19,13,11,-8,-8,-8,-8,2,2
CO,COLORADO,800282,COLORADO DIGITAL BOCES,6600,COLORADO PREP ACADEMY,80028206600,No,13,3,25,-8,48,7,310,18,3,32,-8,60,1,358,406,472,45,28,7,14,11,13,5,5
CO,COLORADO,800282,COLORADO DIGITAL BOCES,6664,PIKES PEAK ONLINE SCHOOL,80028206664,No,6,0,12,-8,27,-8,226,9,5,11,-8,27,-8,226,271,278,44,38,1,3,3,18,3,5
CO,COLORADO,800292,COLORADO RIVER BOCES,1503,YAMPAH MOUNTAIN SCHOOL,80029201503,-8,0,-8,-8,0,-8,0,0,1,-8,0,2,-8,-8,1,0,4,-8,-8,-8,-8,-8,-8,-8,-8
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1,CHALLENGER MIDDLE SCHOOL,80192000001,No,0,2,4,3,3,0,44,0,3,0,10,5,0,35,56,53,11,7,4,3,1,3,1,1
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",2,AIR ACADEMY HIGH SCHOOL,80192000002,No,0,4,3,15,1,0,54,0,2,2,8,10,0,56,77,78,12,1,5,9,1,1,3,4
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",3,DOUGLASS VALLEY ELEMENTARY SCHOOL,80192000003,No,-8,0,2,2,3,1,6,0,2,2,5,2,1,7,14,19,1,1,1,0,0,0,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",4,EDITH WOLFORD ELEMENTARY SCHOOL,80192000004,No,-8,-8,0,6,4,-8,33,0,1,-8,2,2,-8,27,43,32,14,7,0,2,0,-8,1,1
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",5,MOUNTAIN VIEW ELEMENTARY SCHOOL,80192000005,No,0,2,3,5,1,1,34,-8,2,1,6,5,0,19,46,33,8,5,0,1,0,3,-8,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",7,ROCKRIMMON ELEMENTARY SCHOOL,80192000007,No,-8,1,0,4,1,-8,13,-8,0,0,11,0,-8,22,19,33,2,3,0,0,0,2,3,6
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",8,WOODMEN-ROBERTS ELEMENTARY SCHOOL,80192000008,No,-8,0,0,6,3,-8,17,3,4,1,5,2,-8,18,26,33,8,4,1,0,0,1,1,0
