LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,LEA_ADDRESS,LEA_CITY,LEA_ZIP,CJJ,LEA_DISTED_IND,LEA_DISTEDENR_HI_M,LEA_DISTEDENR_HI_F,LEA_DISTEDENR_AM_M,LEA_DISTEDENR_AM_F,LEA_DISTEDENR_AS_M,LEA_DISTEDENR_AS_F,LEA_DISTEDENR_HP_M,LEA_DISTEDENR_HP_F,LEA_DISTEDENR_BL_M,LEA_DISTEDENR_BL_F,LEA_DISTEDENR_WH_M,LEA_DISTEDENR_WH_F,LEA_DISTEDENR_TR_M,LEA_DISTEDENR_TR_F,TOT_DISTEDENR_M,TOT_DISTEDENR_F,LEA_DISTEDENR_LEP_M,LEA_DISTEDENR_LEP_F,LEA_DISTEDENR_IDEA_M,LEA_DISTEDENR_IDEA_F
VA,VIRGINIA,5100097,NORTHERN NECK REGIONAL ALTERNATIVE ED,PO Box 787,Warsaw,22572,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100098,SHENANDOAH VALLEY REG ALTERNATIVE ED/GENESIS,1751 Shutterlee Mill Rd.,Staunton,24401,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100099,BREAKING BARRIERS ALTERNATIVE ED/HENRY CO,C/O Henry Co Public Schls,Collinsville,24078,No,Yes,0,0,0,0,0,0,0,0,6,4,2,0,0,0,8,4,0,0,0,0
VA,VIRGINIA,5100100,CARROLL-GALAX REG ALT ED PRGM/THE RAE CENTER,C/O Carroll Co Public Schls,Hillsville,24343,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100102,REGIONAL LEARNING ACADEMY/WISE CO,C/O Wise Co Public Schools,Wise,24293,No,Yes,0,0,0,0,0,0,0,0,1,0,7,0,0,0,8,0,0,0,2,0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,1340 Braddock Place,Alexandria,22314,No,Yes,28,34,5,3,11,13,1,0,35,48,62,103,7,7,149,208,15,1,29,8
VA,VIRGINIA,5100152,ALLEGHANY CO PBLC SCHS,100 Central Circle,Low Moor,24457,No,Yes,0,1,1,0,2,1,0,0,33,3,66,36,1,0,103,41,1,0,23,6
VA,VIRGINIA,5100180,AMELIA CO PBLC SCHS,8701 Otterburn Road Suite 101,Amelia,23002,No,Yes,0,0,0,0,1,0,0,0,1,0,3,0,0,0,5,0,0,0,0,0
VA,VIRGINIA,5100210,AMHERST CO PBLC SCHS,P. O. Box 1257,Amherst,24521,No,Yes,5,3,1,1,2,1,0,0,31,17,49,51,21,4,109,77,4,0,11,9
VA,VIRGINIA,5100240,APPOMATTOX CO PBLC SCHS,P.O. Box 548,Appomattox,24522,No,Yes,0,2,0,0,2,0,0,0,9,7,23,33,2,1,36,43,1,0,7,4
VA,VIRGINIA,5100256,CODERVA REGIONAL HIGH SCHOOL,1405 Cummings Drive Suite 10,Richmond,23220,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,2110 Washington Blvd,Arlington,22204,No,Yes,268,193,5,2,106,116,0,1,103,102,411,383,65,60,958,857,108,62,170,98
VA,VIRGINIA,5100300,AUGUSTA CO PBLC SCHS,P O Box 960,Verona,24482,No,Yes,24,29,7,3,10,3,1,4,8,11,662,520,18,2,730,572,7,2,29,35
VA,VIRGINIA,5100330,BATH CO PBLC SCHS,PO Box 67,Warm Springs,24484,No,Yes,0,0,0,0,0,0,0,0,0,0,10,9,2,0,12,9,0,0,0,0
VA,VIRGINIA,5100360,BEDFORD CO PBLC SCHS,310 S. Bridge St,Bedford,24523,No,Yes,15,19,6,1,7,7,0,0,33,29,367,379,26,14,454,449,4,2,37,23
VA,VIRGINIA,5100390,BLAND CO PBLC SCHS,361 Bears Trail,Bastian,24314,No,Yes,0,1,0,0,0,0,0,0,0,0,10,38,0,0,10,39,0,0,0,0
VA,VIRGINIA,5100420,BOTETOURT CO PBLC SCHS,143 Poor Farm Rd,Fincastle,24090,No,Yes,3,9,0,0,2,1,0,0,6,2,211,202,6,10,228,224,1,3,28,19
VA,VIRGINIA,5100450,BRISTOL CITY PBLC SCHS,220 Lee Street,Bristol,24201,No,Yes,1,1,0,0,5,4,0,0,4,8,63,70,2,7,75,90,0,0,2,3
VA,VIRGINIA,5100480,BRUNSWICK CO PBLC SCHS,1718 Farmer's Field Road,Lawrenceville,23868,No,Yes,0,0,0,0,0,0,0,0,3,7,2,2,0,0,5,9,0,0,0,0
VA,VIRGINIA,5100510,BUCHANAN CO PBLC SCHS,1176 Booth Branch,Grundy,24614,No,Yes,0,0,0,0,0,0,0,0,0,0,50,55,0,0,50,55,0,0,0,0
VA,VIRGINIA,5100540,BUCKINGHAM CO PBLC SCHS,15595 West James Anderson Rd.,Buckingham,23921,No,Yes,2,1,0,0,0,0,0,0,22,33,24,47,5,9,53,90,0,1,14,7
VA,VIRGINIA,5100560,BUENA VISTA CITY PBLC SCHS,2329 Chestnut Ave. Suite A,Buena Vista,24416,No,Yes,0,0,0,3,0,0,0,1,7,3,72,79,0,3,79,89,0,0,14,5
VA,VIRGINIA,5100600,CAMPBELL CO PBLC SCHS,P.O. Box 99,Rustburg,24588,No,Yes,0,0,0,0,2,3,0,0,2,9,93,74,3,8,100,94,1,0,14,0
VA,VIRGINIA,5100660,CAROLINE CO PBLC SCHS,16261 Richmond Turnpike,Bowling Green,22427,No,Yes,0,0,0,0,0,0,0,0,1,1,8,8,0,0,9,9,0,0,0,1
VA,VIRGINIA,5100690,CARROLL CO PBLC SCHS,605-9  Pine St,Hillsville,24343,No,Yes,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0
VA,VIRGINIA,5100720,CHARLES CITY CO PBLC SCHS,10035 Courthouse Rd,Charles City,23030,No,Yes,0,0,1,1,0,0,0,0,3,9,5,2,2,0,11,12,0,0,1,0
VA,VIRGINIA,5100750,CHARLOTTE CO PBLC SCHS,PO Box 790,Charlotte Court House,23923,No,Yes,0,0,0,0,0,0,0,0,3,2,12,13,0,0,15,15,0,0,0,0
VA,VIRGINIA,5100780,CHARLOTTESVILLE CTY PBLC SCHS,1562 Dairy Rd,Charlottesville,22903,Yes,Yes,11,16,0,0,6,9,0,0,40,40,63,110,10,8,130,183,3,7,7,13
VA,VIRGINIA,5100810,CHESAPEAKE CITY PBLC SCHS,312 Cedar Rd,Chesapeake,23322,No,Yes,2,8,0,0,11,10,1,0,7,20,42,94,9,4,72,136,1,0,2,3
VA,VIRGINIA,5100840,CHESTERFIELD CO PBLC SCHS,P.O. Box 10,Chesterfield,23832,No,Yes,57,85,0,1,22,31,1,1,129,199,341,528,18,39,568,884,10,11,70,40
VA,VIRGINIA,5100870,CLARKE CO PBLC SCHS,317 W Main St Ste A,Berryville,22611,No,Yes,9,7,0,1,0,0,0,0,2,0,64,80,5,4,80,92,1,0,12,7
VA,VIRGINIA,5100930,COLONIAL BEACH PBLC SCHS,16 N. Irving Ave,Colonial Beach,22443,No,Yes,1,1,0,0,1,0,0,0,10,1,23,16,3,5,38,23,0,0,3,0
VA,VIRGINIA,5100960,COLONIAL HEIGHTS CITY PBLC SCHS,512 Boulevard,Colonial Heights,23834,No,Yes,0,1,0,0,2,4,0,0,2,1,15,15,0,0,19,21,0,0,2,1
VA,VIRGINIA,5100990,COVINGTON CITY PBLC SCHS,340 E Walnut St,Covington,24426,No,Yes,1,0,0,0,0,1,0,0,8,1,24,38,0,0,33,40,0,0,4,0
VA,VIRGINIA,5101020,CRAIG CO PBLC SCHS,PO Box 245,New Castle,24127,No,Yes,0,0,0,0,0,0,0,0,0,0,37,54,0,1,37,55,0,0,2,0
VA,VIRGINIA,5101050,CULPEPER CO PBLC SCHS,450 Radio Lane,Culpeper,22701,Yes,Yes,26,18,1,0,1,7,0,0,22,15,81,104,7,10,138,154,4,4,10,8
