LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,SCH_FTETEACH_NOTCERT,SCH_FTETEACH_FY,SCH_FTETEACH_SY,SCH_TEACHERS_CURR_TOT,SCH_TEACHERS_PREV_TOT,SCH_FTETEACH_ABSENT,SCH_FTECOUNSELORS,SCH_FTESECURITY_LEO,SCH_FTESECURITY_GUA,SCH_FTESERVICES_NUR,SCH_FTESERVICES_PSY,SCH_FTESERVICES_SOC
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,35,Western Albemarle High,510009000035,No,81.59,73.92,7.67,3.5,2.0,87.0,75.0,19.83,4.0,0.39,0.0,1.01,0.98,0.12
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,36,Woodbrook Elementary,510009000036,No,36.52,36.02,0.5,3.0,2.0,38.0,29.0,5.5,1.0,0.05,0.0,2.03,0.29,0.04
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,751,Mortimer Y. Sutherland Middle,510009000751,No,46.35,42.02,4.33,0.0,2.83,47.0,40.0,13.0,2.5,0.09,0.0,1.05,0.52,0.07
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,1747,Monticello High,510009001747,No,95.62,86.28,9.34,6.0,6.67,94.0,75.0,23.0,7.0,1.0,0.0,1.1,0.97,0.12
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,1882,Scottsville Elementary,510009001882,No,22.29,21.29,1.0,0.0,2.0,23.0,16.0,3.0,0.5,0.08,0.0,1.02,0.21,0.03
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,1937,Baker-Butler Elem,510009001937,No,51.44,47.94,3.5,1.0,3.0,51.0,39.0,6.5,1.5,0.1,0.0,1.06,0.55,0.07
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,2173,Paul H. Cale Elementary,510009002173,No,66.85,66.85,0.0,2.0,1.0,66.0,61.0,20.7,1.5,0.2,0.0,3.05,0.52,0.07
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,2796,Albemarle County Community Public Charter School,510009002796,No,8.97,8.97,0.0,0.0,0.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.04,0.01
VA,VIRGINIA,5100091,REGIONAL ALTERNATIVE ED/KING WILLIAM,2361,Regional Alternative Ed/King William,510009102361,No,2.18,2.18,0.0,0.0,0.0,30.0,67.0,0.0,0.17,0.5,0.5,0.0,0.0,0.0
VA,VIRGINIA,5100092,NEW DOMINION ALT. CTR./PRINCE WILLIAM CO.,2362,New Dominion Alternative Center/Prince William Co.,510009202362,No,11.91,10.91,1.0,0.0,1.0,16.0,15.0,7.0,1.0,0.5,2.0,0.5,0.0,1.0
VA,VIRGINIA,5100093,PROJECT BRIDGE/RUSSELL CO,2363,Project Bridge/Russell Co,510009302363,No,6.0,6.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VA,VIRGINIA,5100094,REGIONAL ALTERNATIVE/WYTHE CO,2364,Regional Alternative/Wythe Co,510009402364,No,4.0,4.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
VA,VIRGINIA,5100096,PIEDMONT ALTERNATIVE SCHOOL,2366,Piedmont Alternative,510009602366,No,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VA,VIRGINIA,5100097,NORTHERN NECK REGIONAL ALTERNATIVE ED,2367,Northern Neck Regional Alternative Ed,510009702367,No,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
VA,VIRGINIA,5100098,SHENANDOAH VALLEY REG ALTERNATIVE ED/GENESIS,2368,Shenandoah Valley Reg Alternative Ed/Genesis,510009802368,No,6.0,6.0,0.0,0.0,1.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
VA,VIRGINIA,5100099,BREAKING BARRIERS ALTERNATIVE ED/HENRY CO,2369,Breaking Barriers Alternative Ed/Henry Co,510009902369,No,3.35,3.35,0.0,0.0,0.0,5.0,5.0,0.67,0.67,0.67,0.0,0.01,0.01,0.01
VA,VIRGINIA,5100100,CARROLL-GALAX REG ALT ED PRGM/THE RAE CENTER,2370,Carroll-Galax Reg Alt Ed Prgm/The RAE Ctr,510010002370,No,7.5,7.5,0.0,0.0,0.0,8.0,8.0,2.0,1.0,0.0,0.0,0.0,0.25,0.1
VA,VIRGINIA,5100102,REGIONAL LEARNING ACADEMY/WISE CO,2372,Regional Learning Academy/Wise Co,510010202372,No,2.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,38,Charles Barrett Elementary,510012000038,No,44.0,42.0,2.0,1.0,3.0,46.0,39.0,18.0,1.0,0.0,0.0,1.0,1.0,1.0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,39,Douglas Macarthur Elementary,510012000039,No,46.0,44.0,2.0,3.0,5.0,57.0,47.0,21.0,1.4,0.0,0.0,1.0,1.0,1.0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,41,George Mason Elementary,510012000041,No,35.0,33.0,2.0,0.0,0.0,49.0,37.0,20.0,1.2,0.0,0.0,1.0,1.0,1.0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,43,James K. Polk Elementary,510012000043,No,65.0,62.0,3.0,4.0,4.0,70.0,61.0,29.0,2.0,0.0,0.0,1.0,1.0,1.0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,44,Jefferson-Houston Elementary,510012000044,No,69.0,60.0,9.0,4.0,7.0,65.0,40.0,34.0,1.0,0.0,0.0,1.0,1.0,1.0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,45,John Adams Elementary,510012000045,No,97.0,84.0,13.0,3.0,9.0,97.0,73.0,51.0,2.0,0.0,1.0,2.0,1.0,1.0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,47,Lyles-Crouch Elementary,510012000047,No,40.62,40.62,0.0,1.0,2.0,40.0,33.0,22.0,1.0,0.0,0.0,1.0,0.6,1.0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,48,Maury Elementary,510012000048,No,26.33,25.33,1.0,3.0,0.0,39.0,31.0,16.0,1.0,0.0,0.0,1.0,0.6,1.0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,50,Mount Vernon Elementary,510012000050,No,69.25,62.25,7.0,2.0,4.0,78.0,60.0,33.0,1.8,0.0,0.0,1.0,1.0,1.0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,52,Patrick Henry Elementary,510012000052,No,53.5,47.5,6.0,4.0,6.0,59.0,45.0,14.0,1.4,0.0,0.0,1.0,1.0,1.0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,54,T.C. Williams High,510012000054,No,396.0,382.47,13.53,14.0,10.0,348.0,289.0,171.0,17.5,3.0,21.0,3.0,3.3,6.5
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,55,William Ramsay Elementary,510012000055,No,72.83,66.93,5.9,4.0,5.0,79.0,64.0,25.0,2.0,0.0,0.0,1.0,1.0,1.0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,1826,Cora Kelly Magnet Elementary,510012001826,No,31.16,28.16,3.0,6.0,3.0,49.0,39.0,14.0,1.0,0.0,0.0,1.0,1.0,1.0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,2549,Samuel W. Tucker Elementary,510012002549,No,62.2,54.51,7.69,0.0,1.0,69.0,59.0,41.0,1.6,0.0,0.0,1.0,1.0,1.0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,2999,George Washington Middle,510012002999,No,124.6,111.8,12.8,8.0,4.0,124.0,88.0,68.0,7.0,1.0,6.0,1.0,1.2,2.0
