LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,LEA_ADDRESS,LEA_CITY,LEA_ZIP,CJJ,LEA_HSE_IND,LEA_HSEPART_HI_M,LEA_HSEPART_HI_F,LEA_HSEPART_AM_M,LEA_HSEPART_AM_F,LEA_HSEPART_AS_M,LEA_HSEPART_AS_F,LEA_HSEPART_HP_M,LEA_HSEPART_HP_F,LEA_HSEPART_BL_M,LEA_HSEPART_BL_F,LEA_HSEPART_WH_M,LEA_HSEPART_WH_F,LEA_HSEPART_TR_M,LEA_HSEPART_TR_F,TOT_HSEPART_M,TOT_HSEPART_F,LEA_HSEPART_LEP_M,LEA_HSEPART_LEP_F,LEA_HSEPART_IDEA_M,LEA_HSEPART_IDEA_F
VA,VIRGINIA,5100720,CHARLES CITY CO PBLC SCHS,10035 Courthouse Rd,Charles City,23030,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100750,CHARLOTTE CO PBLC SCHS,PO Box 790,Charlotte Court House,23923,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100780,CHARLOTTESVILLE CTY PBLC SCHS,1562 Dairy Rd,Charlottesville,22903,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100810,CHESAPEAKE CITY PBLC SCHS,312 Cedar Rd,Chesapeake,23322,No,Yes,1,0,0,0,11,0,0,0,3,1,3,1,0,0,18,2,1,0,3,1
VA,VIRGINIA,5100840,CHESTERFIELD CO PBLC SCHS,P.O. Box 10,Chesterfield,23832,No,Yes,12,9,0,0,0,0,0,0,26,10,32,23,2,1,72,43,8,0,19,2
VA,VIRGINIA,5100870,CLARKE CO PBLC SCHS,317 W Main St Ste A,Berryville,22611,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100930,COLONIAL BEACH PBLC SCHS,16 N. Irving Ave,Colonial Beach,22443,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100960,COLONIAL HEIGHTS CITY PBLC SCHS,512 Boulevard,Colonial Heights,23834,No,Yes,0,0,0,0,0,0,0,0,1,0,7,3,0,1,8,4,0,0,2,1
VA,VIRGINIA,5100990,COVINGTON CITY PBLC SCHS,340 E Walnut St,Covington,24426,No,Yes,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
VA,VIRGINIA,5101020,CRAIG CO PBLC SCHS,PO Box 245,New Castle,24127,No,Yes,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,3,0,0,0,0
VA,VIRGINIA,5101050,CULPEPER CO PBLC SCHS,450 Radio Lane,Culpeper,22701,Yes,Yes,1,0,0,0,0,0,0,0,0,0,6,1,1,0,8,1,0,0,1,0
VA,VIRGINIA,5101080,CUMBERLAND CO PBLC SCHS,PO Box 170,Cumberland,23040,No,Yes,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
VA,VIRGINIA,5101110,DANVILLE CITY PBLC SCHS,341 MAIN STREET SUITE 100,DANVILLE,24541,No,Yes,0,0,0,0,0,0,0,0,15,1,0,1,0,0,15,2,0,0,0,1
VA,VIRGINIA,5101140,DICKENSON CO PBLC SCHS,P.O. Box 1127,Clintwood,24228,No,Yes,0,0,0,0,0,0,0,0,0,0,5,2,0,0,5,2,0,0,2,0
VA,VIRGINIA,5101170,DINWIDDIE CO PBLC SCHS,14016 Boydton Plank Rd,Dinwiddie,23841,No,Yes,1,0,0,0,0,0,0,0,3,4,6,7,1,1,11,12,1,0,3,0
VA,VIRGINIA,5101200,ESSEX CO PBLC SCHS,P.O. Box 756,Tappahannock,22560,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5101260,FAIRFAX CO PBLC SCHS,Gatehouse Adm Ctr,Falls Church,22042,Yes,Yes,4,6,0,0,3,1,0,0,0,0,20,5,1,0,28,12,1,1,12,7
