LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_GT_IND,SCH_GTENR_HI_M,SCH_GTENR_HI_F,SCH_GTENR_AM_M,SCH_GTENR_AM_F,SCH_GTENR_AS_M,SCH_GTENR_AS_F,SCH_GTENR_HP_M,SCH_GTENR_HP_F,SCH_GTENR_BL_M,SCH_GTENR_BL_F,SCH_GTENR_WH_M,SCH_GTENR_WH_F,SCH_GTENR_TR_M,SCH_GTENR_TR_F,TOT_GTENR_M,TOT_GTENR_F,SCH_GTENR_LEP_M,SCH_GTENR_LEP_F,SCH_GTENR_IDEA_M,SCH_GTENR_IDEA_F
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,3,Virginia L. Murray Elementary,510009000003,No,Yes,0,0,0,0,0,0,0,0,1,0,13,9,0,1,14,10,0,0,2,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,15,Albemarle High,510009000015,No,Yes,6,6,0,0,18,13,0,0,3,2,111,108,5,6,143,135,0,0,4,3
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,17,Broadus Wood Elementary,510009000017,No,Yes,1,0,0,0,1,0,0,0,0,0,6,8,1,0,9,8,0,0,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,18,Brownsville Elementary,510009000018,No,Yes,1,0,0,0,2,0,0,0,0,0,8,4,0,0,11,4,2,0,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,20,Crozet Elementary,510009000020,No,Yes,0,0,0,0,2,0,0,0,0,0,17,8,0,0,19,8,1,0,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,22,Hollymead Elementary,510009000022,No,Yes,0,0,0,0,3,3,0,0,0,1,4,5,1,1,8,10,1,2,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,23,Jack Jouett Middle,510009000023,No,Yes,2,3,0,0,2,2,0,0,2,2,21,25,3,1,30,33,2,0,2,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,24,Jackson P. Burley Middle,510009000024,No,Yes,4,1,0,0,0,6,0,0,3,3,38,29,5,5,50,44,3,2,1,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,25,Joseph T. Henley Middle,510009000025,No,Yes,0,0,0,0,1,5,0,0,1,0,63,49,3,2,68,56,0,0,1,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,26,Leslie H. Walton Middle,510009000026,No,Yes,1,1,0,0,0,2,0,0,1,2,22,14,2,1,26,20,0,0,1,1
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,27,Mary Carr Greer Elementary,510009000027,No,Yes,1,0,0,0,3,2,0,0,0,0,4,5,1,1,9,8,4,1,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,28,Meriwether Lewis Elementary,510009000028,No,Yes,1,0,0,0,1,0,0,0,0,0,11,8,0,0,13,8,0,0,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,29,Red Hill Elementary,510009000029,No,Yes,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,30,Murray High,510009000030,No,Yes,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4,0,0,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,32,Stone Robinson Elementary,510009000032,No,Yes,0,0,0,0,0,2,0,0,0,0,21,19,1,0,22,21,0,1,1,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,33,Stony Point Elementary,510009000033,No,Yes,0,0,0,0,1,0,0,0,0,0,6,9,0,1,7,10,0,0,0,1
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,35,Western Albemarle High,510009000035,No,Yes,1,1,0,0,3,4,0,0,0,0,82,73,3,3,89,81,0,0,1,1
