LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED_M,TOTAL_STUDENTS_REPORTED_F,WDIS_M,WDIS_F,DISAB504_M,DISAB504_F,LEP_M,LEP_F,H_M,H_F
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2028,Arcadia High,510006002028,No,-8,0,5,1,3,-8,11,-8,0,10,6,0,-8,13,20,29,3,5,2,2,1,5,1,1
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2433,Nandua Middle,510006002433,No,-8,0,4,0,0,-8,4,-8,0,1,0,0,-8,0,8,1,6,1,-8,-8,0,0,0,0
VA,VIRGINIA,5100060,ACCOMACK CO PBLC SCHS,2434,Arcadia Middle,510006002434,No,-8,0,11,2,0,-8,4,-8,0,3,0,0,-8,1,17,4,3,1,2,-8,1,1,4,0
VA,VIRGINIA,5100070,DEPARTMENT OF JUVENILE JUSTICE,2967,Yvonne B. Miller High School,510007002967,Yes,-8,-8,0,0,-8,-8,0,-8,-8,0,-8,-8,-8,0,0,0,0,0,-8,-8,0,-8,-8,-8
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,2,Agnor-Hurt Elementary,510009000002,No,-8,0,1,5,2,-8,2,-8,1,4,5,1,-8,5,10,16,2,1,-8,-8,4,3,1,2
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,3,Virginia L. Murray Elementary,510009000003,No,0,0,0,0,0,-8,2,-8,0,0,0,1,-8,3,2,4,1,0,-8,1,0,0,1,-8
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,15,Albemarle High,510009000015,No,-8,3,13,26,7,-8,44,0,4,11,25,7,-8,40,93,87,20,8,3,6,18,18,5,2
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,17,Broadus Wood Elementary,510009000017,No,-8,0,0,0,0,-8,4,-8,0,0,0,0,-8,6,4,6,1,1,-8,-8,0,0,0,1
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,18,Brownsville Elementary,510009000018,No,-8,0,1,1,1,-8,11,-8,0,1,1,0,-8,14,14,16,4,1,-8,-8,0,0,1,1
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,20,Crozet Elementary,510009000020,No,-8,2,1,3,2,0,9,-8,0,0,0,0,-8,3,17,3,7,3,-8,-8,3,0,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,22,Hollymead Elementary,510009000022,No,0,2,1,2,2,-8,6,0,1,0,0,1,-8,8,13,10,3,1,-8,-8,0,0,0,-8
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,23,Jack Jouett Middle,510009000023,No,0,3,5,8,2,-8,15,2,0,6,7,2,0,8,33,25,9,7,-8,-8,9,5,2,1
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,24,Jackson P. Burley Middle,510009000024,No,-8,0,2,11,1,-8,19,-8,1,0,9,0,-8,15,33,25,8,5,-8,1,11,5,4,3
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,25,Joseph T. Henley Middle,510009000025,No,0,0,1,0,2,0,33,-8,0,0,1,2,0,20,36,23,10,4,3,-8,0,1,1,1
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,26,Leslie H. Walton Middle,510009000026,No,0,0,0,2,0,-8,19,-8,0,0,0,0,-8,13,21,13,2,5,-8,-8,1,0,1,1
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,27,Mary Carr Greer Elementary,510009000027,No,-8,2,8,8,0,-8,8,-8,6,9,12,3,2,10,26,42,3,6,2,-8,12,19,3,3
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,28,Meriwether Lewis Elementary,510009000028,No,-8,0,0,0,1,-8,10,-8,1,0,1,0,0,3,11,5,1,0,-8,-8,0,0,-8,-8
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,29,Red Hill Elementary,510009000029,No,1,-8,0,1,1,-8,11,-8,-8,0,3,0,-8,6,14,9,4,3,1,-8,0,0,-8,-8
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,30,Murray High,510009000030,No,0,-8,1,1,0,-8,9,-8,2,1,3,1,-8,13,11,20,5,3,-8,-8,-8,1,-8,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,32,Stone Robinson Elementary,510009000032,No,-8,1,0,4,1,0,15,-8,0,1,2,1,0,17,21,21,8,2,-8,-8,2,0,1,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,33,Stony Point Elementary,510009000033,No,-8,0,5,0,1,-8,7,-8,0,1,1,0,-8,1,13,3,6,0,-8,-8,0,1,-8,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,35,Western Albemarle High,510009000035,No,-8,0,1,1,1,0,14,-8,2,0,1,3,-8,11,17,17,4,6,1,-8,1,0,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,36,Woodbrook Elementary,510009000036,No,-8,0,2,2,1,-8,7,-8,0,4,2,4,-8,1,12,11,5,2,-8,1,2,2,1,1
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,751,Mortimer Y. Sutherland Middle,510009000751,No,-8,0,1,0,1,-8,12,0,1,1,0,2,-8,11,14,15,6,3,2,2,0,1,2,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,1747,Monticello High,510009001747,No,0,0,11,15,3,-8,36,0,1,1,16,6,-8,46,65,70,21,13,2,1,7,6,4,3
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,1882,Scottsville Elementary,510009001882,No,-8,-8,0,1,1,-8,5,-8,-8,0,0,4,-8,4,7,8,3,1,-8,-8,0,0,-8,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,1937,Baker-Butler Elem,510009001937,No,-8,2,3,4,0,-8,16,-8,1,1,2,0,-8,14,25,18,5,2,1,-8,2,2,3,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,2173,Paul H. Cale Elementary,510009002173,No,-8,1,0,7,0,-8,10,0,0,0,7,1,-8,4,18,12,8,1,-8,1,4,5,1,2
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,2796,Albemarle County Community Public Charter School,510009002796,No,-8,0,0,-8,0,-8,1,-8,-8,0,0,0,-8,1,1,1,1,0,-8,1,-8,0,-8,-8
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,38,Charles Barrett Elementary,510012000038,No,0,1,3,5,0,-8,4,-8,1,1,2,0,-8,8,13,12,6,1,-8,-8,5,3,-8,1
