LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,SCH_ABSENT_AM_M,SCH_ABSENT_AS_M,SCH_ABSENT_BL_M,SCH_ABSENT_HI_M,SCH_ABSENT_MU_M,SCH_ABSENT_PI_M,SCH_ABSENT_WH_M,SCH_ABSENT_AM_F,SCH_ABSENT_AS_F,SCH_ABSENT_BL_F,SCH_ABSENT_HI_F,SCH_ABSENT_MU_F,SCH_ABSENT_PI_F,SCH_ABSENT_WH_F,SCH_ABSENT_EUT,SCH_ABSENT_IDEA_M,SCH_ABSENT_IDEA_F,SCH_ABSENT_504_M,SCH_ABSENT_504_F,SCH_ABSENT_LEP_M,SCH_ABSENT_LEP_F,SCH_ABSENT_HMENRL_M,SCH_ABSENT_HMENRL_F
TX,TEXAS,4800012,CHISUM ISD,4908,CHISUM MIDDLE,480001204908,2,-8,-8,1,-8,-8,5,1,-8,1,3,-8,-8,1,14,3,-8,3,3,1,1,-8,-8
TX,TEXAS,4800014,GEORGE GERVIN ACADEMY,7174,GEORGE GERVIN ACADEMY,480001407174,1,-8,40,27,1,-8,-8,-8,-8,33,20,2,-8,1,125,16,11,2,3,9,9,1,-8
TX,TEXAS,4800014,GEORGE GERVIN ACADEMY,10415,RUTH JONES MCCLENDON MIDDLE,480001410415,-8,-8,12,5,-8,-8,-8,1,-8,11,13,-8,-8,2,44,1,7,1,4,-8,3,-8,-8
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,7239,TEXANS CAN ACADEMY - DALLAS NORTH,480001607239,-8,1,58,116,6,-8,9,-8,2,49,97,1,-8,9,348,19,9,6,4,64,57,2,3
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,7847,TEXANS CAN ACADEMY - OAK CLIFF,480001607847,-8,-8,102,263,1,-8,7,1,-8,59,212,3,-8,9,657,23,11,2,-8,137,94,-8,-8
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,7910,TEXANS CAN ACADEMY - HOUSTON NORTH,480001607910,-8,1,107,107,2,-8,4,-8,-8,114,108,8,-8,3,454,31,11,1,-8,37,38,-8,-8
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,8434,TEXANS CAN ACADEMY - SAN ANTONIO,480001608434,-8,1,8,195,1,-8,6,1,-8,8,200,1,-8,14,435,25,19,9,9,20,23,-8,-8
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,8908,TEXANS CAN ACADEMY - FORT WORTH WESTCREEK,480001608908,1,3,86,117,8,1,13,1,-8,92,96,7,-8,9,434,12,12,24,12,31,21,-8,-8
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,9028,TEXANS CAN ACADEMY - FORT WORTH LANCASTER AVENUE,480001609028,-8,-8,80,139,6,-8,5,-8,2,100,136,3,-8,4,475,21,6,17,11,70,46,3,3
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,9410,TEXANS CAN ACADEMY - AUSTIN,480001609410,1,4,46,220,1,-8,10,-8,-8,42,253,2,-8,7,586,41,29,17,20,91,97,-8,1
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,9532,TEXANS CAN ACADEMY - CARROLLTON-FARMERS BRANCH,480001609532,1,1,24,176,3,-8,6,-8,-8,17,161,2,1,4,396,11,11,10,3,122,110,1,2
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,9602,TEXANS CAN ACADEMY - HOUSTON HOBBY,480001609602,-8,-8,76,151,2,-8,1,-8,-8,75,121,4,-8,2,432,18,11,4,1,57,33,-8,-8
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,10548,TEXANS CAN ACADEMY - PLEASANT GROVE,480001610548,2,1,136,221,9,-8,11,-8,1,107,196,5,-8,10,699,48,29,4,2,109,102,-8,1
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,12961,TEXANS CAN ACADEMY - GRANT EAST,480001612961,-8,-8,194,61,5,-8,1,-8,-8,164,55,7,-8,5,492,37,16,8,5,25,18,-8,1
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,13458,TEXANS CAN ACADEMY - GARLAND,480001613458,2,-8,43,121,7,-8,16,1,1,40,96,6,-8,7,340,21,18,6,6,50,28,1,1
TX,TEXAS,4800016,TEXANS CAN ACADEMIES,13459,TEXANS CAN ACADEMY - HOUSTON SOUTHWEST,480001613459,1,2,88,133,7,-8,2,-8,1,69,183,7,-8,2,495,19,13,4,4,66,87,-8,-8
TX,TEXAS,4800018,SER-NINOS CHARTER SCHOOL,7302,SER-NINOS CHARTER EL,480001807302,-8,-8,-8,7,-8,-8,-8,-8,-8,-8,15,-8,-8,-8,22,2,1,-8,-8,7,13,-8,-8
TX,TEXAS,4800018,SER-NINOS CHARTER SCHOOL,11526,SER-NINOS CHARTER MIDDLE,480001811526,-8,-8,-8,39,-8,-8,-8,-8,-8,1,29,-8,-8,-8,69,7,1,2,-8,37,23,-8,-8
TX,TEXAS,4800018,SER-NINOS CHARTER SCHOOL,12493,SER-NINOS CHARTER EL II,480001812493,1,-8,-8,31,-8,-8,-8,-8,-8,-8,29,-8,-8,1,62,6,2,-8,-8,27,29,-8,-8
TX,TEXAS,4800019,ARISTOI CLASSICAL ACADEMY,7303,ARISTOI CLASSICAL ACADEMY,480001907303,-8,-8,-8,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,2,4,-8,1,-8,-8,-8,-8,-8,-8
TX,TEXAS,4800019,ARISTOI CLASSICAL ACADEMY,13071,ARISTOI CLASSICAL UPPER SCHOOL,480001913071,-8,-8,1,1,1,-8,1,-8,-8,1,2,-8,-8,4,11,2,2,1,5,-8,-8,-8,-8
TX,TEXAS,4800019,ARISTOI CLASSICAL ACADEMY,14072,ARISTOI CLASSICAL ACADEMY,480001914072,-8,-8,-8,3,-8,-8,-8,-8,-8,1,1,-8,-8,1,6,-8,-8,-8,1,-8,-8,-8,-8
