LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_GT_IND,SCH_GTENR_HI_M,SCH_GTENR_HI_F,SCH_GTENR_AM_M,SCH_GTENR_AM_F,SCH_GTENR_AS_M,SCH_GTENR_AS_F,SCH_GTENR_HP_M,SCH_GTENR_HP_F,SCH_GTENR_BL_M,SCH_GTENR_BL_F,SCH_GTENR_WH_M,SCH_GTENR_WH_F,SCH_GTENR_TR_M,SCH_GTENR_TR_F,TOT_GTENR_M,TOT_GTENR_F,SCH_GTENR_LEP_M,SCH_GTENR_LEP_F,SCH_GTENR_IDEA_M,SCH_GTENR_IDEA_F
TX,Texas,4800011,Alvarado Isd,10855,Juvenile Justice Alternative,480001110855,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800012,Chisum Isd,1430,Chisum El,480001201430,No,Yes,0,0,0,0,0,0,0,0,0,0,10,7,0,0,10,7,0,0,1,0
TX,Texas,4800012,Chisum Isd,1431,Chisum H S,480001201431,No,Yes,0,0,0,0,0,0,0,0,0,0,7,9,0,0,7,9,0,0,0,0
TX,Texas,4800012,Chisum Isd,4908,Chisum Middle,480001204908,No,Yes,0,0,0,0,0,0,0,0,0,0,6,5,1,0,7,5,0,0,0,0
TX,Texas,4800014,George Gervin Academy,7174,George Gervin Academy,480001407174,No,Yes,5,3,0,0,0,0,0,0,4,2,0,0,0,0,9,5,3,2,2,0
TX,Texas,4800014,George Gervin Academy,10415,Ruth Jones Mcclendon Middle,480001410415,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800016,Texans Can Academies,7239,Texans Can Academy - Dallas North,480001607239,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800016,Texans Can Academies,7847,Texans Can Academy - Oak Cliff,480001607847,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800016,Texans Can Academies,7910,Texans Can Academy - Houston North,480001607910,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800016,Texans Can Academies,8434,Texans Can Academy - San Antonio,480001608434,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800016,Texans Can Academies,8908,Texans Can Academy - Fort Worth Westcreek,480001608908,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800016,Texans Can Academies,9028,Texans Can Academy - Fort Worth Lancaster Avenue,480001609028,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800016,Texans Can Academies,9410,Texans Can Academy - Austin,480001609410,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800016,Texans Can Academies,9532,Texans Can Academy - Carrollton-Farmers Branch,480001609532,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
