state,category,dataset_title,resource_name,format,url,description
virginia,enrollment,1999 School Census,1999 School Census,XLSX,https://data.virginia.gov/dataset/ce8d0fa3-b7f9-4e60-9723-88ce4a1af0d0/resource/d6a5605b-6b45-4610-b7c8-a4fc0b0ec80c/download/1999-school-census.xlsx,1999 School Census — 1999 School Census
virginia,other,Home Schooled Students & Religious Exemptions 2009-10,Home Schooled Students & Religious Exemptions 2009-10 ,XLS,https://data.virginia.gov/dataset/64efa1be-64a4-48b9-8642-528bb97895eb/resource/99d459a2-4f1f-408d-93ae-7375ee192497/download/2009_2010.xls,Home Schooled Students & Religious Exemptions 2009-10 — Home Schooled Students & Religious Exemptions 2009-10 
virginia,test_scores,State Test-by-Test 2017-2023,state_pass_rates_by_test_2017-2023.,CSV,https://data.virginia.gov/dataset/5002d90c-8f8a-45b8-b72f-7ccf99b85438/resource/eed1d4b3-633e-496e-820b-b13115b81e4f/download/state_pass_rates_by_test_2017-2023.xlsx,State Test-by-Test 2017-2023 — state_pass_rates_by_test_2017-2023.
virginia,enrollment,2002 School Census,School Census_2002,XLSX,https://data.virginia.gov/dataset/578b0887-aaf0-4573-bbde-e7fe1f4e3f0f/resource/4c5d840f-32e9-4bbd-933a-a652814f9285/download/2002-school-census.xlsx,2002 School Census — School Census_2002
virginia,enrollment,Fall membership statistics 2021 - 2022,Fall membership statistics 2021 - 2022,CSV,https://data.virginia.gov/dataset/8282419c-9ae9-45c0-8ddc-a943d8690efd/resource/7386c0f7-c520-4a7b-9d7f-62c6207374e9/download/fall_membership_statistics-2.csv,Fall membership statistics 2021 - 2022 — Fall membership statistics 2021 - 2022
virginia,other,Local and Regional Schools and Centers 2019 - 2020,2019-20-local-and-regional-schools,XLSX,https://data.virginia.gov/dataset/c7908ac4-2b74-4981-be77-887983f995cd/resource/44221d2c-e78d-4f95-a9e9-30b65ff4d2c8/download/2019-20-local-and-regional-schools-2.xlsx,Local and Regional Schools and Centers 2019 - 2020 — 2019-20-local-and-regional-schools
virginia,enrollment,2001-2002 Fall Membership Division Totals by Grade,Division Totals by Grade,XLSX,https://data.virginia.gov/dataset/b98f6d5a-2746-49dc-bc58-d15b79370b86/resource/b427e0f8-5625-4254-9a59-96d9946b629f/download/fm_div_grade-1.xls,2001-2002 Fall Membership Division Totals by Grade — Division Totals by Grade
virginia,enrollment,Fall Membership 2008-09 Division Summaries by Ethnicity,Fall Membership 2008-09 Division Summaries by Ethnicity ,XLSX,https://data.virginia.gov/dataset/7acf1d1f-ffe7-47e2-be86-9550318a8740/resource/61e70d11-b8e8-45d4-aa61-ccd17f22af5a/download/2008-div-summ-by-ethnicity.xls,Fall Membership 2008-09 Division Summaries by Ethnicity — Fall Membership 2008-09 Division Summaries by Ethnicity 
virginia,other,Graduates & Completers - Graduate and Completers Totals by School 2020 - 2021,2020-totals-school,XLS,https://data.virginia.gov/dataset/d12a1d84-248d-4f8c-82c1-3175aa2cf449/resource/191b8432-66a4-4c95-8434-beb3764d4d77/download/2020-totals-school.xls,Graduates & Completers - Graduate and Completers Totals by School 2020 - 2021 — 2020-totals-school
virginia,other,2005-2006 Gifted Annual Report,2006 Gifted Annual Report,PDF,https://data.virginia.gov/dataset/ed54c44f-274e-4331-b10e-84f60e2576b2/resource/3872d722-89e8-444c-bdd9-106d642f1386/download/2006_gifted.pdf,2005-2006 Gifted Annual Report — 2006 Gifted Annual Report
virginia,enrollment,"Number of Days Taught, ADA, ADM 2022 - 2023","Number of Days Taught, ADA, ADM 2022 - 2023",XLSX,https://data.virginia.gov/dataset/42902cf1-08b0-4af7-9777-fc051b2e1671/resource/f407a215-f24b-4d86-b2ff-5c4cae4ec389/download/2022-2023-table-08.xlsx,"Number of Days Taught, ADA, ADM 2022 - 2023 — Number of Days Taught, ADA, ADM 2022 - 2023"
virginia,other,Home Schooled Students & Religious Exemptions 2024-25,Home Schooled Students & Religious Exemptions 2024-25,XLSX,https://data.virginia.gov/dataset/a8f5cd2e-c9bd-4f46-9240-90f567722167/resource/b85c79f7-ef65-418b-a089-e34e7e5c1a1f/download/2024-2025-homeschool-and-religious-exempts.xlsx,Home Schooled Students & Religious Exemptions 2024-25 — Home Schooled Students & Religious Exemptions 2024-25
