url,category,description,source,dataset_title,format
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Restraint-and-Seclusion/Restraint-and-Seclusion/Restraint-or-Seclusion.Students-under-IDEA-or-not_secl.xlsx,other,CRDC: 2017-18 Restraint and Seclusion Civil Rights Data Collection — Seclusion IDEA/Non IDEA,CRDC,2017-18 Restraint and Seclusion Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Restraint-and-Seclusion/Restraint-and-Seclusion/Restraint-or-Seclusion.Students-served-under-IDEA_phys.xlsx,other,CRDC: 2017-18 Restraint and Seclusion Civil Rights Data Collection — Physical restraint IDEA,CRDC,2017-18 Restraint and Seclusion Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Restraint-and-Seclusion/Restraint-and-Seclusion/Restraint-or-Seclusion.Students-under-IDEA-or-not_phys.xlsx,other,CRDC: 2017-18 Restraint and Seclusion Civil Rights Data Collection — Physical restraint IDEA/Non IDEA,CRDC,2017-18 Restraint and Seclusion Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Restraint-and-Seclusion/Restraint-and-Seclusion/Restraint-or-Seclusion.Students-not-served-under-IDEA_mech.xlsx,other,CRDC: 2017-18 Restraint and Seclusion Civil Rights Data Collection — Mechanical restraint Non IDEA,CRDC,2017-18 Restraint and Seclusion Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Restraint-and-Seclusion/Restraint-and-Seclusion/Restraint-or-Seclusion.Students-served-under-IDEA_mech.xlsx,other,CRDC: 2017-18 Restraint and Seclusion Civil Rights Data Collection — Mechanical restraint IDEA,CRDC,2017-18 Restraint and Seclusion Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/downloads/2017-2018/Restraint-and-Seclusion/Restraint-and-Seclusion/Restraint-or-Seclusion.Students-under-IDEA-or-not_mech.xlsx,other,CRDC: 2017-18 Restraint and Seclusion Civil Rights Data Collection — Mechanical restraint IDEA/Non IDEA,CRDC,2017-18 Restraint and Seclusion Civil Rights Data Collection,XLSX
https://civilrightsdata.ed.gov/assets/ocr/docs/2017-18-crdc-data.zip,other,CRDC: Civil Rights Data Collection (CRDC) for the 2017-18 school year — 2017-18-crdc-data.zip,CRDC,Civil Rights Data Collection (CRDC) for the 2017-18 school year,ZIP
https://data-nces.opendata.arcgis.com/api/download/v1/items/b480c30aa8654d23be9b79a0feb436e3/csv?layers=0,other,CRDC: Public School Characteristics 2021-22 — CSV,CRDC,Public School Characteristics 2021-22,CSV
https://data-nces.opendata.arcgis.com/api/download/v1/items/b480c30aa8654d23be9b79a0feb436e3/shapefile?layers=0,other,CRDC: Public School Characteristics 2021-22 — Shapefile,CRDC,Public School Characteristics 2021-22,ZIP
https://data-nces.opendata.arcgis.com/api/download/v1/items/71710fd5ae9a43768f221c89e8ff7bb0/csv?layers=0,other,CRDC: School District Characteristics 2021-22 — CSV,CRDC,School District Characteristics 2021-22,CSV
