LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_DUAL_IND,SCH_DUALENR_HI_M,SCH_DUALENR_HI_F,SCH_DUALENR_AM_M,SCH_DUALENR_AM_F,SCH_DUALENR_AS_M,SCH_DUALENR_AS_F,SCH_DUALENR_HP_M,SCH_DUALENR_HP_F,SCH_DUALENR_BL_M,SCH_DUALENR_BL_F,SCH_DUALENR_WH_M,SCH_DUALENR_WH_F,SCH_DUALENR_TR_M,SCH_DUALENR_TR_F,TOT_DUAL_M,TOT_DUAL_F,SCH_DUALENR_LEP_M,SCH_DUALENR_LEP_F,SCH_DUALENR_IDEA_M,SCH_DUALENR_IDEA_F
CO,Colorado,0800020,State Charter School Institute,6761,Coperni 2,080002006761,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,6768,Axis International Academy,080002006768,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,6777,Colorado Early Colleges Fort Collins West,080002006777,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,6779,Colorado Early Colleges Windsor,080002006779,No,Yes,3,1,0,0,0,0,0,0,0,0,5,7,0,0,8,8,0,0,0,0
CO,Colorado,0800020,State Charter School Institute,6784,Coperni 3,080002006784,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800020,State Charter School Institute,6796,Ascent Classical Academy Northern Colorado,080002006796,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800023,Colorado School For The Deaf And Blind,6410,Colorado School For The Deaf And Blind,080002306410,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800282,Education Reenvisioned Boces,6600,Colorado Preparatory Academy High School,080028206600,No,Yes,7,16,0,0,0,0,0,0,0,4,12,47,4,4,23,71,1,3,2,3
CO,Colorado,0800282,Education Reenvisioned Boces,6664,Pikes Peak Online School,080028206664,No,Yes,0,1,0,0,0,1,0,0,0,1,2,3,2,1,4,7,0,2,2,3
CO,Colorado,0800282,Education Reenvisioned Boces,6752,Colorado Preparatory Academy Elementary School,080028206752,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800282,Education Reenvisioned Boces,6764,Colorado Preparatory Academy Middle School,080028206764,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800282,Education Reenvisioned Boces,6804,Orton Academy,080028206804,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800286,Division Of Youth Services,6659,Spring Creek Youth Services Center,080028606659,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800286,Division Of Youth Services,6702,Grand Mesa Youth Services Center,080028606702,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800286,Division Of Youth Services,6703,Mount View Youth Services Center,080028606703,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800286,Division Of Youth Services,6704,Platte Valley Youth Services Center,080028606704,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800286,Division Of Youth Services,99998,Lookout Mountain Youth Services Center,080028699998,Yes,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0800292,Colorado River Boces,1503,Yampah Mountain School,080029201503,No,Yes,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1
CO,Colorado,0801920,Academy School District No. 20,1,Challenger Middle School,080192000001,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0801920,Academy School District No. 20,2,Air Academy High School,080192000002,No,Yes,3,4,0,1,0,1,0,0,2,2,17,20,0,1,22,29,0,0,4,0
CO,Colorado,0801920,Academy School District No. 20,3,Douglass Valley Elementary School,080192000003,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0801920,Academy School District No. 20,4,Edith Wolford Elementary School,080192000004,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0801920,Academy School District No. 20,5,Mountain View Elementary School,080192000005,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0801920,Academy School District No. 20,7,Rockrimmon Elementary School,080192000007,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0801920,Academy School District No. 20,8,Woodmen-Roberts Elementary School,080192000008,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0801920,Academy School District No. 20,123,Antelope Trails Elementary School,080192000123,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0801920,Academy School District No. 20,531,Prairie Hills Elementary School,080192000531,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0801920,Academy School District No. 20,858,Aspen Valley Campus,080192000858,No,Yes,2,2,0,0,0,0,0,0,0,0,6,3,1,0,9,5,0,0,0,0
CO,Colorado,0801920,Academy School District No. 20,1319,Foothills Elementary School,080192001319,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0801920,Academy School District No. 20,1320,High Plains Elementary School,080192001320,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0801920,Academy School District No. 20,1321,Rampart High School,080192001321,No,Yes,2,13,0,0,5,5,0,0,0,1,12,25,3,3,22,47,0,1,1,4
CO,Colorado,0801920,Academy School District No. 20,1387,Frontier Elementary School,080192001387,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0801920,Academy School District No. 20,1402,Eagleview Middle School,080192001402,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0801920,Academy School District No. 20,1429,Liberty High School,080192001429,No,Yes,2,6,0,0,2,1,0,0,0,0,15,22,2,4,21,33,0,0,1,0
CO,Colorado,0801920,Academy School District No. 20,1430,Pioneer Elementary School,080192001430,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0801920,Academy School District No. 20,1462,Timberview Middle School,080192001462,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
