School Year,Division Number,Division Name,School Number,School Name,"Total Dropouts
                            Grades 7 - 12"
2022-2023,49,King and Queen County ,280,Central High,               1
2022-2023,51,Lancaster County ,10,Lancaster High,               4
2022-2023,52,Lee County ,300,Lee High,              15
2022-2023,52,Lee County ,880,Thomas Walker High,               4
2022-2023,137,Lexington City ,1440,Lylburn Downing Middle,               3
2022-2023,53,Loudoun County ,420,Briar Woods High ,               3
2022-2023,53,Loudoun County ,740,Broad Run High,               8
2022-2023,53,Loudoun County ,31,Dominion High,              27
2022-2023,53,Loudoun County ,120,Freedom High ,               3
2022-2023,53,Loudoun County ,520,Harper Park Middle,               1
2022-2023,53,Loudoun County ,900,Heritage High,              11
2022-2023,53,Loudoun County ,1110,Independence High,               1
2022-2023,53,Loudoun County ,20,J. Lupton Simpson Middle,               1
2022-2023,53,Loudoun County ,580,J. Michael Lunsford Middle,               3
2022-2023,53,Loudoun County ,370,John Champe High,               4
2022-2023,53,Loudoun County ,1130,Lightridge High,               1
2022-2023,53,Loudoun County ,660,Loudoun County High,              17
2022-2023,53,Loudoun County ,680,Loudoun Valley High,               2
2022-2023,53,Loudoun County ,320,Mercer Middle ,               1
2022-2023,53,Loudoun County ,60,Park View High,              33
2022-2023,53,Loudoun County ,140,Potomac Falls High,              12
2022-2023,53,Loudoun County ,1050,Riverside High,               2
2022-2023,53,Loudoun County ,1060,Rock Ridge High,               3
2022-2023,53,Loudoun County ,90,Smart's Mill Middle ,               1
2022-2023,53,Loudoun County ,760,Sterling Middle,               0
2022-2023,53,Loudoun County ,850,Stone Bridge High,               8
2022-2023,53,Loudoun County ,200,Tuscarora High,              32
2022-2023,53,Loudoun County ,532,W.O. Robey High,               2
2022-2023,53,Loudoun County ,590,Woodgrove High,               4
2022-2023,54,Louisa County ,602,Louisa County High,              33
2022-2023,54,Louisa County ,601,Louisa County Middle,              13
2022-2023,55,Lunenburg County ,560,Central High,               6
2022-2023,115,Lynchburg City ,260,E.C. Glass High ,              37
2022-2023,115,Lynchburg City ,130,Heritage High,              29
2022-2023,115,Lynchburg City ,350,Linkhorne Middle,               2
2022-2023,115,Lynchburg City ,170,Paul Laurence Dunbar Middle for Innovation ,               3
2022-2023,115,Lynchburg City ,340,Sandusky Middle,               3
2022-2023,56,Madison County ,221,Madison County High,               5
2022-2023,143,Manassas City ,70,Grace E. Metz Middle ,               9
2022-2023,143,Manassas City ,370,Osbourn High,              55
2022-2023,144,Manassas Park City ,30,Manassas Park High,              17
2022-2023,116,Martinsville City ,110,Martinsville High,              15
2022-2023,57,Mathews County ,190,Mathews High,               4
2022-2023,58,Mecklenburg County ,1041,Mecklenburg County High,              71
2022-2023,58,Mecklenburg County ,1040,Mecklenburg County Middle,               3
2022-2023,59,Middlesex County ,90,Middlesex High,               3
2022-2023,60,Montgomery County ,650,Auburn High,               4
2022-2023,60,Montgomery County ,903,Auburn Middle,               3
2022-2023,60,Montgomery County ,760,Blacksburg High,               8
2022-2023,60,Montgomery County ,710,Blacksburg Middle,               1
2022-2023,60,Montgomery County ,770,Christiansburg High,              24
2022-2023,60,Montgomery County ,671,Christiansburg Middle,               5
2022-2023,60,Montgomery County ,904,Eastern Montgomery High,               3
2022-2023,62,Nelson County ,710,Nelson County High,               8
2022-2023,62,Nelson County ,730,Nelson Middle,               1
2022-2023,63,New Kent County ,20,New Kent High ,              20
2022-2023,63,New Kent County ,100,New Kent Middle ,               4
2022-2023,117,Newport News City ,1405,Achievable Dream Middle/High ,               1
