School Year,Division Number,Division Name,School Number,School Name,"Total Dropouts
                            Grades 7 - 12"
2019-2020,43,Henrico County ,130,John Rolfe Middle,               7
2019-2020,43,Henrico County ,250,L. Douglas Wilder Middle,               5
2019-2020,43,Henrico County ,140,Mills E. Godwin High,               8
2019-2020,43,Henrico County ,690,Quioccasin Middle School,               9
2019-2020,43,Henrico County ,520,Tuckahoe Middle,               1
2019-2020,43,Henrico County ,580,Varina High,              32
2019-2020,44,Henry County ,10,Bassett High,              12
2019-2020,44,Henry County ,620,Fieldale-Collinsville Middle ,               1
2019-2020,44,Henry County ,20,Magna Vista High,               5
2019-2020,45,Highland County ,220,Highland High,               1
2019-2020,114,Hopewell City ,110,Carter G. Woodson Middle,               5
2019-2020,114,Hopewell City ,120,Hopewell High,              15
2019-2020,46,Isle of Wight County ,40,Smithfield High,               6
2019-2020,46,Isle of Wight County ,50,Smithfield Middle,               1
2019-2020,46,Isle of Wight County ,250,Windsor High,               3
2019-2020,48,King George County ,120,King George High,              11
2019-2020,48,King George County ,10,King George Middle,               2
2019-2020,50,King William County ,130,King William High,               8
2019-2020,49,King and Queen County ,280,Central High,               1
2019-2020,51,Lancaster County ,10,Lancaster High,               8
2019-2020,52,Lee County ,300,Lee High,              16
2019-2020,52,Lee County ,290,Pennington Middle,               0
2019-2020,52,Lee County ,880,Thomas Walker High,               8
2019-2020,137,Lexington City ,1440,Lylburn Downing Middle,               6
2019-2020,53,Loudoun County ,420,Briar Woods High ,               4
2019-2020,53,Loudoun County ,740,Broad Run High,               6
2019-2020,53,Loudoun County ,31,Dominion High,              20
2019-2020,53,Loudoun County ,120,Freedom High ,               2
2019-2020,53,Loudoun County ,900,Heritage High,              11
2019-2020,53,Loudoun County ,1110,Independence High,               1
2019-2020,53,Loudoun County ,20,J. Lupton Simpson Middle,               1
2019-2020,53,Loudoun County ,370,John Champe High School,               6
2019-2020,53,Loudoun County ,660,Loudoun County High,              14
2019-2020,53,Loudoun County ,680,Loudoun Valley High,               1
2019-2020,53,Loudoun County ,60,Park View High,              47
2019-2020,53,Loudoun County ,140,Potomac Falls High,               5
2019-2020,53,Loudoun County ,1050,Riverside High,               6
2019-2020,53,Loudoun County ,1060,Rock Ridge High,               3
2019-2020,53,Loudoun County ,760,Sterling Middle,               2
2019-2020,53,Loudoun County ,850,Stone Bridge High,               2
2019-2020,53,Loudoun County ,200,Tuscarora High,              22
2019-2020,53,Loudoun County ,590,Woodgrove High,               2
2019-2020,54,Louisa County ,602,Louisa County High,              18
2019-2020,54,Louisa County ,601,Louisa County Middle,               2
2019-2020,55,Lunenburg County ,560,Central High,               8
2019-2020,115,Lynchburg City ,260,E.C. Glass High ,              38
2019-2020,115,Lynchburg City ,130,Heritage High,              31
2019-2020,115,Lynchburg City ,170,Paul Laurence Dunbar Middle for Innovation ,               2
2019-2020,115,Lynchburg City ,340,Sandusky Middle,               4
2019-2020,56,Madison County ,221,Madison County High,               4
2019-2020,143,Manassas City ,70,Grace E. Metz Middle ,              24
2019-2020,143,Manassas City ,370,Osbourn High,             123
2019-2020,144,Manassas Park City ,30,Manassas Park High,              28
2019-2020,144,Manassas Park City ,31,Manassas Park Middle,               7
2019-2020,116,Martinsville City ,110,Martinsville High,               6
2019-2020,116,Martinsville City ,10,Martinsville Middle,               1
2019-2020,57,Mathews County ,190,Mathews High,               1
2019-2020,57,Mathews County ,100,Thomas Hunter Middle,               1
2019-2020,58,Mecklenburg County ,980,Bluestone  High,               9
2019-2020,58,Mecklenburg County ,990,Park View High,              16
2019-2020,59,Middlesex County ,90,Middlesex High,               3
2019-2020,59,Middlesex County ,140,St. Clare Walker Middle,               1
2019-2020,60,Montgomery County ,650,Auburn High,               1
2019-2020,60,Montgomery County ,760,Blacksburg High,               4
2019-2020,60,Montgomery County ,710,Blacksburg Middle,               1
2019-2020,60,Montgomery County ,770,Christiansburg High,              10
2019-2020,60,Montgomery County ,671,Christiansburg Middle,               2
2019-2020,60,Montgomery County ,904,Eastern Montgomery High,               2
2019-2020,60,Montgomery County ,290,Shawsville Middle,               1
2019-2020,62,Nelson County ,710,Nelson County High,              11
2019-2020,63,New Kent County ,20,New Kent High ,               4
2019-2020,63,New Kent County ,100,New Kent Middle ,               0
2019-2020,117,Newport News City ,1393,Crittenden Middle,               3
2019-2020,117,Newport News City ,280,Denbigh High,              41
2019-2020,117,Newport News City ,1260,Ethel M. Gildersleeve Middle,               3
2019-2020,117,Newport News City ,1395,Heritage High,              27
2019-2020,117,Newport News City ,1270,Homer L. Hines Middle,               2
2019-2020,117,Newport News City ,91,Huntington Middle,               3
2019-2020,117,Newport News City ,20,J.M. Dozier Middle ,               7
2019-2020,117,Newport News City ,1400,Mary Passage Middle,               3
2019-2020,117,Newport News City ,1220,Menchville High,              26
2019-2020,117,Newport News City ,1070,Warwick High,              42
2019-2020,117,Newport News City ,1396,Woodside High,              15
2019-2020,118,Norfolk City ,760,Azalea Gardens Middle,               3
2019-2020,118,Norfolk City ,20,Blair Middle,               5
2019-2020,118,Norfolk City ,880,Booker T Washington High,              20
2019-2020,118,Norfolk City ,390,Granby High,              54
2019-2020,118,Norfolk City ,790,Lake Taylor,               3
2019-2020,118,Norfolk City ,840,Lake Taylor High ,              26
2019-2020,118,Norfolk City ,10,Matthew Fontaine Maury High,              26
2019-2020,118,Norfolk City ,490,Northside Middle,               5
2019-2020,118,Norfolk City ,580,Norview High,              54
2019-2020,118,Norfolk City ,570,Norview Middle,               5
2019-2020,118,Norfolk City ,770,Southside STEM Academy at Campostella ,               2
2019-2020,118,Norfolk City ,30,William H. Ruffner Middle,               3
2019-2020,65,Northampton County ,350,Northampton High,               7
2019-2020,66,Northumberland County ,40,Northumberland High,               1
2019-2020,67,Nottoway County ,301,Nottoway High,              16
2019-2020,68,Orange County ,330,Orange County High ,              13
2019-2020,69,Page County ,110,Luray High,               2
2019-2020,69,Page County ,400,Luray Middle,               1
2019-2020,69,Page County ,380,Page County High,               2
2019-2020,70,Patrick County ,700,Patrick County High,               3
2019-2020,120,Petersburg City ,200,Petersburg High,              18
2019-2020,120,Petersburg City ,121,Vernon Johns Middle,               5
2019-2020,71,Pittsylvania County ,1720,Chatham High,              13
2019-2020,71,Pittsylvania County ,1680,Dan River High,              25
2019-2020,71,Pittsylvania County ,1090,Dan River Middle,               3
