School Year,Division Number,Division Name,School Number,School Name,"Total Dropouts
                            Grades 7 - 12"
2019-2020,71,Pittsylvania County ,1700,Gretna High,              14
2019-2020,71,Pittsylvania County ,1730,Tunstall High,              15
2019-2020,71,Pittsylvania County ,1130,Tunstall Middle,               2
2019-2020,142,Poquoson City ,10,Poquoson High,               4
2019-2020,121,Portsmouth City ,500,Churchland High,              14
2019-2020,121,Portsmouth City ,320,Churchland Middle,               4
2019-2020,121,Portsmouth City ,1130,Cradock Middle,               2
2019-2020,121,Portsmouth City ,240,I.C. Norcom High,              37
2019-2020,121,Portsmouth City ,310,William E. Waters Middle,               2
2019-2020,121,Portsmouth City ,1660,Woodrow Wilson High,              36
2019-2020,72,Powhatan County ,11,Powhatan High,               4
2019-2020,73,Prince Edward County ,400,Prince Edward County High,              20
2019-2020,73,Prince Edward County ,20,Prince Edward Middle,               1
2019-2020,74,Prince George County ,320,J.E.J. Moore Middle ,               2
2019-2020,74,Prince George County ,20,Prince George High,              29
2019-2020,75,Prince William County ,290,Battlefield High ,               2
2019-2020,75,Prince William County ,530,Brentsville District High,               8
2019-2020,75,Prince William County ,710,C.D. Hylton High,              28
2019-2020,75,Prince William County ,5010,Charles J. Colgan Sr. High,              13
2019-2020,75,Prince William County ,870,Forest Park High,              28
2019-2020,75,Prince William County ,520,Fred M. Lynn Middle,               1
2019-2020,75,Prince William County ,300,Freedom High ,              71
2019-2020,75,Prince William County ,690,Gar-Field High,              56
2019-2020,75,Prince William County ,510,Graham Park Middle,               2
2019-2020,75,Prince William County ,720,Lake Ridge Middle,               2
2019-2020,75,Prince William County ,80,Osbourn Park High,              22
2019-2020,75,Prince William County ,501,Parkside Middle,               1
2019-2020,75,Prince William County ,1060,Patriot High,              11
2019-2020,75,Prince William County ,140,Potomac High,              32
2019-2020,75,Prince William County ,170,Potomac Middle,               4
2019-2020,75,Prince William County ,591,Rippon Middle,               6
