LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_FIREARM_IND,SCH_HOMICIDE_IND,SCH_OFFENSE_RAPE,SCH_OFFENSE_BATT,SCH_OFFENSE_ROBWW,SCH_OFFENSE_ROBWX,SCH_OFFENSE_ROBWOW,SCH_OFFENSE_ATTWW,SCH_OFFENSE_ATTWX,SCH_OFFENSE_ATTWOW,SCH_OFFENSE_THRWW,SCH_OFFENSE_THRWX,SCH_OFFENSE_THRWOW,SCH_OFFENSE_POSSWX
HI,HAWAII,1500030,Hawaii Department of Education,159,Waipahu Elementary School,150003000159,No,No,No,0,0,0,0,0,0,0,0,0,0,2,0
HI,HAWAII,1500030,Hawaii Department of Education,160,Kalihi Kai Elementary School,150003000160,No,No,No,0,0,0,0,0,0,0,0,0,0,2,0
HI,HAWAII,1500030,Hawaii Department of Education,161,Waipahu High School,150003000161,No,No,No,0,2,0,0,0,0,0,0,0,0,4,0
HI,HAWAII,1500030,Hawaii Department of Education,162,Kalihi Elementary School,150003000162,No,No,No,0,5,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,163,Kalani High School,150003000163,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,164,King David Kalakaua Middle School,150003000164,No,No,No,1,3,0,0,1,0,0,0,1,0,11,1
HI,HAWAII,1500030,Hawaii Department of Education,165,Princess Victoria Kaiulani Elementary School,150003000165,No,No,No,0,0,0,0,0,0,0,0,0,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,166,Kapolei Elementary School,150003000166,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,167,Kipapa Elementary School,150003000167,No,No,No,0,0,0,0,0,0,0,0,0,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,168,Kaala Elementary School,150003000168,No,No,No,0,0,0,0,0,0,0,0,0,0,2,0
HI,HAWAII,1500030,Hawaii Department of Education,169,Iliahi Elementary School,150003000169,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,170,Lt Col Horrace Meek Hickam Elementary School,150003000170,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,171,Helemano Elementary School,150003000171,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
HI,HAWAII,1500030,Hawaii Department of Education,172,Haleiwa Elementary School,150003000172,No,No,No,0,0,0,0,0,0,0,0,0,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,173,Daniel K Inouye Elementary School,150003000173,No,No,No,0,0,0,0,0,0,0,0,0,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,174,Aliamanu Middle School,150003000174,No,No,No,0,1,0,0,0,0,0,0,1,0,1,0
HI,HAWAII,1500030,Hawaii Department of Education,175,Aliamanu Elementary School,150003000175,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0
