LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED_M,TOTAL_STUDENTS_REPORTED_F,WDIS_M,WDIS_F,DISAB504_M,DISAB504_F,LEP_M,LEP_F,H_M,H_F
HI,HAWAII,1500030,Hawaii Department of Education,104,Moanalua Elementary School,150003000104,No,-8,6,2,6,15,2,1,-8,4,1,3,5,4,5,32,22,5,2,-8,-8,-8,1,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,105,Mililani Waena Elementary School,150003000105,No,-8,3,-8,14,7,5,3,-8,3,-8,16,11,11,2,32,43,8,6,-8,1,1,2,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,106,Mililani Uka Elementary School,150003000106,No,-8,3,1,6,8,8,2,-8,1,-8,12,6,5,5,28,29,7,4,2,-8,1,-8,1,1
HI,HAWAII,1500030,Hawaii Department of Education,107,Makalapa Elementary School,150003000107,No,-8,5,-8,4,1,13,8,1,3,4,3,1,5,7,31,24,8,4,1,2,3,5,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,108,Leilehua High School,150003000108,No,2,25,10,32,15,54,19,1,32,10,31,15,51,19,157,159,37,19,10,5,12,7,4,2
HI,HAWAII,1500030,Hawaii Department of Education,109,Waiau Elementary School,150003000109,No,-8,1,-8,9,4,4,2,-8,-8,-8,11,6,8,-8,20,25,2,2,-8,1,2,2,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,110,Waianae High School,150003000110,No,4,25,5,47,27,263,20,-8,22,6,40,25,255,11,391,359,114,47,9,7,15,15,40,42
HI,HAWAII,1500030,Hawaii Department of Education,111,Waianae Elementary School,150003000111,No,-8,2,-8,21,10,93,2,-8,1,1,26,4,60,-8,128,92,37,15,-8,1,14,8,11,3
HI,HAWAII,1500030,Hawaii Department of Education,112,Pohakea Elementary School,150003000112,No,-8,10,-8,5,9,10,2,-8,2,1,16,9,11,5,36,44,12,8,1,2,4,1,1,4
HI,HAWAII,1500030,Hawaii Department of Education,113,Pearl City Highlands School,150003000113,No,-8,7,-8,4,3,4,-8,-8,2,-8,3,3,6,-8,18,14,6,1,-8,1,1,-8,-8,1
HI,HAWAII,1500030,Hawaii Department of Education,114,Pearl City High School,150003000114,No,1,25,4,14,16,47,6,-8,30,1,18,20,48,7,113,124,27,19,5,6,11,5,3,4
HI,HAWAII,1500030,Hawaii Department of Education,115,Pearl City Elementary School,150003000115,No,-8,5,2,13,4,5,5,-8,3,-8,9,11,7,1,34,31,9,4,-8,-8,3,5,-8,1
HI,HAWAII,1500030,Hawaii Department of Education,116,Palisades Elementary School,150003000116,No,-8,1,-8,4,8,5,2,-8,2,-8,3,8,9,3,20,25,3,2,1,-8,4,5,1,3
HI,HAWAII,1500030,Hawaii Department of Education,117,Nanakuli High & Intermediate School,150003000117,No,-8,7,4,21,10,197,5,-8,10,2,23,6,192,6,244,239,73,23,-8,1,26,9,10,20
HI,HAWAII,1500030,Hawaii Department of Education,118,Nanakuli Elementary School,150003000118,No,-8,1,-8,11,2,55,1,-8,-8,-8,17,4,53,3,70,77,7,2,2,1,2,-8,2,-8
HI,HAWAII,1500030,Hawaii Department of Education,119,Nanaikapono Elementary School,150003000119,No,-8,5,-8,38,22,114,-8,-8,4,1,34,27,118,1,179,185,43,25,1,-8,21,16,18,23
HI,HAWAII,1500030,Hawaii Department of Education,120,Momilani Elementary School,150003000120,No,-8,1,1,-8,-8,1,-8,-8,1,-8,1,-8,-8,-8,3,2,-8,-8,-8,1,-8,-8,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,121,Mauka Lani Elementary School,150003000121,No,-8,5,1,22,20,32,6,-8,1,1,11,20,22,3,86,58,29,5,-8,1,6,5,-8,-8
HI,HAWAII,1500030,Hawaii Department of Education,122,Manana Elementary School,150003000122,No,-8,2,1,4,2,3,-8,-8,1,2,5,4,8,2,12,22,5,2,-8,-8,-8,3,-8,-8
