LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,DISABILITY_CATEGORY,CF_M,HH_M,RC39_M,RC79TO40_M,RC80_M,RF_M,SS_M,CF_F,HH_F,PPPS_F,RC39_F,RC79TO40_F,RC80_F,SS_F,PPPS_M,RF_F,TOTAL_STUDENTS_REPORTED
HI,HAWAII,1500030,Hawaii Department of Education,14,Kapunahala Elementary School,150003000014,No,MD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,14,Kapunahala Elementary School,150003000014,No,MR,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2
HI,HAWAII,1500030,Hawaii Department of Education,14,Kapunahala Elementary School,150003000014,No,OHI,0,0,2,2,4,0,0,0,0,0,1,1,1,0,0,0,11
HI,HAWAII,1500030,Hawaii Department of Education,14,Kapunahala Elementary School,150003000014,No,SLD,0,0,0,7,4,0,0,0,0,0,0,7,3,0,0,0,21
HI,HAWAII,1500030,Hawaii Department of Education,14,Kapunahala Elementary School,150003000014,No,SLI,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,5
HI,HAWAII,1500030,Hawaii Department of Education,15,Keolu Elementary School,150003000015,No,DD,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,15,Keolu Elementary School,150003000015,No,OHI,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
HI,HAWAII,1500030,Hawaii Department of Education,15,Keolu Elementary School,150003000015,No,SLD,0,0,0,0,4,0,0,0,0,0,0,1,2,0,0,0,7
HI,HAWAII,1500030,Hawaii Department of Education,15,Keolu Elementary School,150003000015,No,SLI,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
HI,HAWAII,1500030,Hawaii Department of Education,16,Governor Samuel Wilder King Intermediate School,150003000016,No,AUT,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,5
HI,HAWAII,1500030,Hawaii Department of Education,16,Governor Samuel Wilder King Intermediate School,150003000016,No,EMN,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,5
HI,HAWAII,1500030,Hawaii Department of Education,16,Governor Samuel Wilder King Intermediate School,150003000016,No,HI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,16,Governor Samuel Wilder King Intermediate School,150003000016,No,MD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,16,Governor Samuel Wilder King Intermediate School,150003000016,No,MR,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3
HI,HAWAII,1500030,Hawaii Department of Education,16,Governor Samuel Wilder King Intermediate School,150003000016,No,OHI,0,0,1,9,5,0,0,0,0,0,4,0,3,0,0,0,22
HI,HAWAII,1500030,Hawaii Department of Education,16,Governor Samuel Wilder King Intermediate School,150003000016,No,OI,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
HI,HAWAII,1500030,Hawaii Department of Education,16,Governor Samuel Wilder King Intermediate School,150003000016,No,SLD,0,0,5,12,10,0,0,0,0,0,1,7,14,0,0,0,49
HI,HAWAII,1500030,Hawaii Department of Education,16,Governor Samuel Wilder King Intermediate School,150003000016,No,SLI,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3
HI,HAWAII,1500030,Hawaii Department of Education,17,Laie Elementary School,150003000017,No,AUT,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4
HI,HAWAII,1500030,Hawaii Department of Education,17,Laie Elementary School,150003000017,No,DD,0,0,0,5,4,0,0,0,0,0,0,1,1,0,0,0,11
HI,HAWAII,1500030,Hawaii Department of Education,17,Laie Elementary School,150003000017,No,EMN,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
HI,HAWAII,1500030,Hawaii Department of Education,17,Laie Elementary School,150003000017,No,HI,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,17,Laie Elementary School,150003000017,No,MR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,17,Laie Elementary School,150003000017,No,OHI,0,0,0,7,1,0,0,0,0,0,0,0,1,0,0,0,9
HI,HAWAII,1500030,Hawaii Department of Education,17,Laie Elementary School,150003000017,No,SLD,0,0,0,4,1,0,0,0,0,0,0,5,0,0,0,0,10
HI,HAWAII,1500030,Hawaii Department of Education,17,Laie Elementary School,150003000017,No,SLI,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,5
HI,HAWAII,1500030,Hawaii Department of Education,18,Ka'ohao Public Charter School,150003000018,No,AUT,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
HI,HAWAII,1500030,Hawaii Department of Education,18,Ka'ohao Public Charter School,150003000018,No,DD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,18,Ka'ohao Public Charter School,150003000018,No,OHI,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,18,Ka'ohao Public Charter School,150003000018,No,SLD,0,0,0,1,8,0,0,0,0,0,0,1,6,0,0,0,16
HI,HAWAII,1500030,Hawaii Department of Education,18,Ka'ohao Public Charter School,150003000018,No,SLI,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,19,Maunawili Elementary School,150003000019,No,AUT,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
HI,HAWAII,1500030,Hawaii Department of Education,19,Maunawili Elementary School,150003000019,No,EMN,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3
HI,HAWAII,1500030,Hawaii Department of Education,19,Maunawili Elementary School,150003000019,No,MR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,19,Maunawili Elementary School,150003000019,No,OHI,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,5
HI,HAWAII,1500030,Hawaii Department of Education,19,Maunawili Elementary School,150003000019,No,SLD,0,0,0,5,12,0,0,0,0,0,0,1,5,0,0,0,23
HI,HAWAII,1500030,Hawaii Department of Education,19,Maunawili Elementary School,150003000019,No,SLI,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,19,Maunawili Elementary School,150003000019,No,TBI,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,20,Mokapu Elementary School,150003000020,No,AUT,0,0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,7
HI,HAWAII,1500030,Hawaii Department of Education,20,Mokapu Elementary School,150003000020,No,DD,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,10
HI,HAWAII,1500030,Hawaii Department of Education,20,Mokapu Elementary School,150003000020,No,EMN,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
HI,HAWAII,1500030,Hawaii Department of Education,20,Mokapu Elementary School,150003000020,No,MD,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,20,Mokapu Elementary School,150003000020,No,MR,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3
HI,HAWAII,1500030,Hawaii Department of Education,20,Mokapu Elementary School,150003000020,No,OHI,0,0,0,3,4,0,0,0,0,0,0,1,2,0,0,0,10
HI,HAWAII,1500030,Hawaii Department of Education,20,Mokapu Elementary School,150003000020,No,OI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,20,Mokapu Elementary School,150003000020,No,SLD,0,0,2,4,6,0,0,0,0,0,0,2,5,0,0,0,19
HI,HAWAII,1500030,Hawaii Department of Education,20,Mokapu Elementary School,150003000020,No,SLI,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,12
HI,HAWAII,1500030,Hawaii Department of Education,21,Reverend Benjamin Parker Elementary School,150003000021,No,AUT,0,0,2,2,2,0,0,0,0,0,1,1,0,0,0,0,8
HI,HAWAII,1500030,Hawaii Department of Education,21,Reverend Benjamin Parker Elementary School,150003000021,No,DD,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3
HI,HAWAII,1500030,Hawaii Department of Education,21,Reverend Benjamin Parker Elementary School,150003000021,No,MD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
